
$SESSION,1,V,2015-10-28T11:40:30.097,ASL/16/3937*20
2015-10-30T09:42:45.176,þ€662D 94CC C4EF
2015-10-30T09:42:48.379,þÀ66AD B4CC C5F8
2015-10-30T09:42:56.634,þ€064C 5290 C5F4
2015-10-30T09:43:06.962,þÀ648C D2D2 C5E1
2015-10-30T09:43:07.953,þ€66AD B4C8 C4F6
2015-10-30T09:43:08.608,þÀ62AD B4C8 C3F3
2015-10-30T09:43:12.904,þ€62CC D1F3 C4FF
2015-10-30T09:43:20.826,þÀ442D 94CC C5F6
2015-10-30T09:43:34.691,þ€668D B44C C5F5
2015-10-30T09:43:45.584,þÀ66AD B0CC C3F2
2015-10-30T09:43:51.526,þ€66AD B4CC C4ED
2015-10-30T09:43:57.468,þÀ66AD A488 C3F9
2015-10-30T09:44:06.372,þ€6689 B40C C6F0
2015-10-30T09:44:32.403,þÀ4604 D0C2 C2FF
2015-10-30T09:44:33.120,þ€64C8 D2D2 C4FF
2015-10-30T09:44:53.914,þÀ44A9 B0C8 C5FF
2015-10-30T09:44:58.865,þ€648D 90CC C3F2
2015-10-30T09:45:07.450,þÀ4629 B084 C5F0
2015-10-30T09:45:11.456,þ€66C8 92C2 C4ED
2015-10-30T09:45:29.559,þÀ668C D252 C4E4
2015-10-30T09:45:42.505,þ€06A8 34C0 C3FD
2015-10-30T09:45:54.527,þÀ46CC 92D2 C5F8
2015-10-30T09:46:01.538,þ€664C D2D2 C5F6
2015-10-30T09:46:09.552,þÀ64CC D252 C2ED
2015-10-30T09:46:24.579,þ€248C D2D2 C5FF
2015-10-30T09:46:29.953,þÀ66C8 D2D2 C3FB
2015-10-30T09:46:39.852,þ€66AC 9448 C3FF
2015-10-30T09:46:47.623,þÀ06AC 9444 C4FF
2015-10-30T09:47:18.463,þ€4688 C2D2 C4F9
2015-10-30T09:47:23.699,þÀ46A9 B0CC C3FA
2015-10-30T09:47:33.720,þ€22C4 D2C0 C3F3
2015-10-30T09:47:40.736,þÀ464C 5252 C3EC
2015-10-30T09:47:43.743,þ€6408 C2C2 C4ED
2015-10-30T09:47:49.154,þÀ66C8 92D2 C5EE
2015-10-30T09:48:06.977,þ€64A9 344C C4ED
2015-10-30T09:48:12.808,þÀ22A5 B48C C6F7
2015-10-30T09:48:17.869,þ€66C8 D282 C6F2
2015-10-30T09:48:39.871,þÀ42AD B40C C6EE
2015-10-30T09:48:59.458,þ€6044 D2D2 C4F0
2015-10-30T09:49:01.923,þÀ66AD B48C C4EE
2015-10-30T09:49:04.930,þ€64C8 9252 C4EF
2015-10-30T09:49:12.331,þÀ66CC D292 C7E0
