Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time
08-Dec-2015,12:33:00.361,F3FE FB9D,2F,DF,Unit3,08-Dec-2015,12:33:00.019
10-Dec-2015,10:01:07.111,F3FF FB9D,6F,DF,Unit3,10-Dec-2015,10:01:06.518
12-Dec-2015,12:56:09.118,F3FF FB9D,2F,D7,Unit3,12-Dec-2015,12:56:08.516
14-Dec-2015,13:29:34.307,A3FE B39D,2F,D7,Unit3,14-Dec-2015,13:29:33.651
16-Dec-2015,14:12:53.452,F3FE F39D,2F,D7,Unit3,16-Dec-2015,14:12:53.017
03-Jan-2016,15:22:22.078,F3FF FBDD,6F,DF,Unit3,03-Jan-2016,15:22:21.516
05-Jan-2016,16:05:13.410,F3FF FB9D,6F,DF,Unit3,05-Jan-2016,16:05:13.017
07-Jan-2016,10:47:46.892,F3FE FB9D,2F,DF,Unit3,07-Jan-2016,10:47:46.519
15-Jan-2016,13:31:43.784,F3FF FB9D,6F,DF,Unit3,15-Jan-2016,13:31:43.135
15-Jan-2016,13:46:27.771,34D5 31D3,33,63,Unit3,15-Jan-2016,13:31:43.135
15-Jan-2016,13:46:29.756,66CC AAAA,F6,8B,Unit3,15-Jan-2016,13:31:43.135
15-Jan-2016,13:46:31.738,66CC AAAA,F6,89,Unit3,15-Jan-2016,13:31:43.135
15-Jan-2016,13:50:06.187,6000 0000,F1,89,Unit3,15-Jan-2016,13:31:43.135
15-Jan-2016,13:52:05.854,66CC AAAA,F0,90,Unit3,15-Jan-2016,13:31:43.135
15-Jan-2016,13:52:15.249,66CC A000,F4,83,Unit3,15-Jan-2016,13:31:43.135
16-Jan-2016,09:30:50.286,66CC AAAA,E9,8D,Unit3,15-Jan-2016,13:31:43.135
16-Jan-2016,09:30:52.269,66CC AAAA,02,87,Unit3,15-Jan-2016,13:31:43.135
16-Jan-2016,09:32:31.201,66CC 0000,0A,85,Unit3,15-Jan-2016,13:31:43.135
16-Jan-2016,09:32:33.186,66CC AAAA,F5,89,Unit3,15-Jan-2016,13:31:43.135
16-Jan-2016,09:32:35.171,66CC AAAA,06,89,Unit3,15-Jan-2016,13:31:43.135
16-Jan-2016,10:46:35.342,66CC AAAA,FC,8F,Unit3,15-Jan-2016,13:31:43.135
16-Jan-2016,11:38:36.817,66CC AAAA,12,84,Unit3,15-Jan-2016,13:31:43.135
17-Jan-2016,09:45:07.943,F3FF FB9D,2F,DF,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:47:06.682,3CD5 3156,B7,60,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:47:08.675,4B52 4B33,D3,86,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:47:10.670,4B52 4B33,D4,8B,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:52:48.580,4B52 4B33,D4,86,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:52:50.576,4B52 4B33,CB,A4,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:52:54.567,4B52 4B33,CE,A7,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:52:56.563,4B52 4B33,C8,B4,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:52:58.560,4B52 4B33,C7,BC,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:53:00.556,4B52 4B33,C8,B9,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:53:02.550,4B52 4B33,C7,C7,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:53:23.117,4B52 4B33,C7,BB,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:53:27.106,4B52 4B33,C4,D6,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,08:54:12.362,4B52 4B33,C7,D1,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:29:14.127,4B52 4B30,D3,8A,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:30:29.960,334B 4BDC,CB,CE,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:31:51.599,334B 4B5C,CA,D9,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:31:53.276,334B 4B53,CA,D9,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:32:18.651,334B 4A51,CA,D2,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:34:30.225,334B 4B7C,CD,C9,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:34:46.399,334B 4B54,C7,D2,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:34:48.171,52D5 AA80,F8,95,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:34:54.742,52C0 0000,FA,8A,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:34:58.562,334B 4B52,DB,8F,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:34:59.897,334B 4A45,C4,E8,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:36:04.667,334B 4B55,CE,AF,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:36:18.104,334B 4B55,CE,AB,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:37:07.561,E000 0000,D1,84,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:37:13.448,334B 4B55,CB,BF,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:37:14.441,334B 4B55,C8,BF,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:37:18.061,334B 4B5D,CB,CE,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:37:43.738,334B 4B54,CC,B9,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:39:54.909,334B 4A11,C4,E9,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:49:53.391,4B52 4B31,C5,D3,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,09:50:06.442,000B 0800,DF,A3,Unit3,17-Jan-2016,09:45:07.515
18-Jan-2016,11:29:16.222,334B 3FFF,E7,8E,Unit3,17-Jan-2016,09:45:07.515
19-Jan-2016,13:57:11.860,334B 2D34,D7,8A,Unit3,17-Jan-2016,09:45:07.515
19-Jan-2016,13:57:12.844,334B 2D66,DA,86,Unit3,17-Jan-2016,09:45:07.515
19-Jan-2016,14:09:18.421,334B 2D67,DA,8C,Unit3,17-Jan-2016,09:45:07.515
19-Jan-2016,14:09:19.406,334B 2D66,C4,D6,Unit3,17-Jan-2016,09:45:07.515
19-Jan-2016,14:09:20.392,334B 2D66,C9,BD,Unit3,17-Jan-2016,09:45:07.515
19-Jan-2016,14:09:22.370,334B 2D66,C6,C2,Unit3,17-Jan-2016,09:45:07.515
19-Jan-2016,14:09:24.344,334B 2D66,C9,C2,Unit3,17-Jan-2016,09:45:07.515
19-Jan-2016,14:09:25.328,334B 2D66,CE,92,Unit3,17-Jan-2016,09:45:07.515
19-Jan-2016,21:56:42.250,F3FF FB9D,6F,DF,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,09:38:39.012,34D5 31D3,33,63,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,09:41:08.830,4000 0000,C6,96,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,09:41:25.147,5550 0000,C7,A2,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:11.410,5400 0000,C3,96,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:12.394,3348 4B52,EF,8F,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:20.039,3FFF C000,EE,8D,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:21.026,334B 4B52,F0,87,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:22.011,334B 4B52,F0,92,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,11:48:22.996,334B 4B52,EF,95,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:20.759,334B 4B00,EE,8C,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:21.778,4952 4B66,CA,D3,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:22.796,0B52 4366,C8,D4,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:29.926,4B50 4B66,C8,C9,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:30.945,4B00 4A22,CA,D4,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:32.982,4952 4964,C8,CF,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:37.055,4B12 4B66,C8,D5,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:38.074,4152 4B66,CB,DA,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:39.092,4B52 4B64,C8,CC,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:40.111,0B42 4B66,C9,D7,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:43.167,4B52 4B46,CA,CD,Unit3,19-Jan-2016,21:56:41.602
20-Jan-2016,13:54:47.241,4052 4366,C7,C9,Unit3,19-Jan-2016,21:56:41.602
