Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time,Session_loc,Bird_ID,Home_Location,Sex,Status
20150406,12:30:29.114,5555 2A55,D8,BF,Unit1,20150404,11:10:30.515,bad,5719,HORS,M,B
20150412,12:39:06.349,5555 2A55,D3,B7,Unit1,20150412,12:27:59.018,bad,5719,HORS,M,B
20150412,13:48:28.745,5555 2A55,DF,AB,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150412,14:27:12.280,5555 2A55,D1,C8,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150412,14:27:14.279,5555 2A55,DD,B3,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150412,14:27:16.279,66CC ADB4,D4,C1,Unit1,20150412,13:14:03.014,bad,5206,HORS,M,B
20150412,14:32:43.486,66CC ADB4,DD,AA,Unit1,20150412,13:14:03.014,bad,5206,HORS,M,B
20150412,14:35:56.488,5555 2A55,D0,E1,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150412,15:18:02.517,5555 2A55,DE,AF,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150413,07:27:46.379,5555 2A55,D2,D0,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150413,07:33:03.209,5555 2A55,D2,D0,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150413,08:05:14.716,5555 2A55,D3,D3,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150413,08:09:30.099,5555 2A55,D4,C5,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150413,08:25:12.566,5555 2A55,DA,C7,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150413,09:12:24.287,5555 2A55,DF,CC,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150413,10:30:17.597,5555 2A55,E2,E4,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150413,10:33:35.692,5555 2A55,CF,E9,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150413,10:37:24.140,66CC ADB4,D1,D3,Unit1,20150412,13:14:03.014,bad,5206,HORS,M,B
20150413,10:51:25.480,66CC ADB4,D5,D0,Unit1,20150412,13:14:03.014,bad,5206,HORS,M,B
20150413,10:54:10.872,66CC ADB4,D4,C2,Unit1,20150412,13:14:03.014,bad,5206,HORS,M,B
20150413,10:58:37.413,66CC ADB4,DA,C8,Unit1,20150412,13:14:03.014,bad,5206,HORS,M,B
20150413,11:19:03.435,66CC ADB4,D6,B5,Unit1,20150412,13:14:03.014,bad,5206,HORS,M,B
20150413,11:39:47.318,66CC ADB4,D2,BD,Unit1,20150412,13:14:03.014,bad,5206,HORS,M,B
20150413,11:44:23.042,5555 2A55,D3,CF,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150413,11:44:32.687,5555 2A55,D3,CB,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
20150413,13:09:05.475,5555 2A55,DE,BC,Unit1,20150412,13:14:03.014,bad,5719,HORS,M,B
