
$SESSION,1,V,04-Sep-2014,09:05:47.518,ASL/16/3785*1D
04-Sep-2014,09:31:55.620,ş€5252 5276 E7D4
04-Sep-2014,09:32:02.998,şÀ5252 5266 E4D4
04-Sep-2014,09:32:06.998,ş€52D2 5266 D7B2
04-Sep-2014,09:32:08.999,şÀD252 5367 CFF4
04-Sep-2014,09:32:14.999,ş€52D2 5266 D0E7
04-Sep-2014,09:32:23.000,şÀ52D6 5266 CFE9
04-Sep-2014,09:32:25.001,ş€5252 7266 DABC
04-Sep-2014,09:32:27.001,şÀ5352 1266 D0D5
04-Sep-2014,09:32:39.000,ş€5252 5A66 D5B4
04-Sep-2014,09:32:45.035,şÀD252 5266 D9CE
04-Sep-2014,09:32:48.997,ş€5252 5266 D5B2
04-Sep-2014,09:32:55.030,şÀD272 5666 D0E0
04-Sep-2014,09:32:56.994,ş€1A52 5266 CFFF
04-Sep-2014,09:32:58.993,şÀ525E 5B66 E4FB
04-Sep-2014,09:33:08.990,ş€5252 5266 D2C3
04-Sep-2014,09:34:40.785,şÀ5252 5266 E2E9
04-Sep-2014,09:35:33.290,ş€45D5 2A45 CFFE
04-Sep-2014,09:35:41.840,şÀ5555 AA55 DABC
04-Sep-2014,09:36:52.250,ş€5555 0000 D9D2
04-Sep-2014,09:37:22.343,şÀ5557 6A55 CFF6
04-Sep-2014,09:38:05.938,ş€5540 0000 CEDC
04-Sep-2014,09:39:11.478,şÀ5555 2A55 DEAD
04-Sep-2014,09:39:13.476,ş€5252 5266 D5C1
04-Sep-2014,09:39:15.475,şÀ5252 5266 D3BB
04-Sep-2014,09:39:21.473,ş€7A5A 5266 E7CB
04-Sep-2014,09:39:23.470,şÀ5252 5A66 E9BC
04-Sep-2014,09:39:25.466,ş€5252 5266 F7CD
04-Sep-2014,09:39:48.195,şÀ5252 5264 F6CC
04-Sep-2014,09:39:50.194,ş€5252 5266 F1D8
04-Sep-2014,09:39:54.720,şÀ5252 7276 F4DF
04-Sep-2014,09:40:05.083,ş€5252 D267 EFD8
04-Sep-2014,09:40:07.083,şÀ5672 7A66 F2E7
04-Sep-2014,09:40:11.084,ş€5252 5266 FBC2
04-Sep-2014,09:40:13.084,şÀ5272 5A66 D8E2
04-Sep-2014,09:40:15.084,ş€565A 5266 EFF2
04-Sep-2014,09:40:17.084,şÀ7252 5266 FDCA
04-Sep-2014,09:40:19.084,ş€5256 526F FDD3
04-Sep-2014,09:40:21.085,şÀ5253 5266 EFE0
04-Sep-2014,09:40:23.084,ş€5252 5266 FDCB
04-Sep-2014,09:40:25.085,şÀ52D2 5266 D4BD
04-Sep-2014,09:40:27.085,ş€5252 7266 EDE3
04-Sep-2014,09:40:29.085,şÀ5272 5266 EDCF
04-Sep-2014,09:40:35.084,ş€5A52 5266 E6DF
04-Sep-2014,09:40:49.740,şÀ5653 5266 D1C9
04-Sep-2014,09:40:51.737,ş€5652 5366 D0CF
04-Sep-2014,09:41:25.050,şÀ5252 5260 DFAB
04-Sep-2014,09:41:41.362,ş€5272 5266 D0CF
04-Sep-2014,09:41:49.028,şÀ5352 5A67 D3D7
04-Sep-2014,09:41:51.027,ş€5AD2 D26E D0D6
04-Sep-2014,09:42:51.658,şÀ5252 D266 D2CC
04-Sep-2014,09:43:03.652,ş€5252 5267 D2D5
04-Sep-2014,09:44:16.409,şÀ5250 0004 D4C1
04-Sep-2014,09:44:33.140,ş€5252 5266 D7C4
04-Sep-2014,09:45:58.801,şÀ5252 5267 D3B1
04-Sep-2014,09:46:02.802,ş€52D2 5266 D4C3
04-Sep-2014,09:46:06.804,şÀ5252 5666 E2D1
04-Sep-2014,09:46:10.805,ş€5252 5266 E5E8
04-Sep-2014,09:46:12.805,şÀ5252 5266 F3CC
04-Sep-2014,09:46:18.808,ş€7252 5A66 CEDA
04-Sep-2014,09:46:20.809,şÀ525A 5266 E8D9
04-Sep-2014,09:46:24.811,ş€5252 5266 D6C2
04-Sep-2014,09:46:26.812,şÀ525A 5266 E8BB
04-Sep-2014,09:46:30.814,ş€5252 52E6 00CE
04-Sep-2014,09:46:32.814,şÀ5252 5276 E7C2
04-Sep-2014,09:46:34.815,ş€5652 7266 F5D6
04-Sep-2014,09:46:38.817,şÀ5252 5266 F3C9
04-Sep-2014,09:46:44.819,ş€5252 5266 F8BB
04-Sep-2014,09:46:46.820,şÀ5252 526E EDDE
04-Sep-2014,09:46:48.818,ş€5252 5266 E7CE
04-Sep-2014,09:46:50.814,şÀ5252 5266 F0D7
04-Sep-2014,09:48:12.101,ş€5252 5266 ECC2
04-Sep-2014,09:48:57.866,şÀ5252 5266 F2CE
04-Sep-2014,09:52:36.005,ş€5652 5266 E7D2
04-Sep-2014,09:53:47.751,şÀ53D2 5266 E5CE
04-Sep-2014,09:56:35.621,ş€5252 5267 FEC4
04-Sep-2014,09:56:41.621,şÀ5256 5266 F1DB
04-Sep-2014,09:56:45.619,ş€5252 5266 ECCA
04-Sep-2014,09:57:11.652,şÀD252 3266 EBFF
04-Sep-2014,09:57:44.643,ş€5252 5266 FDCE
04-Sep-2014,09:57:46.641,şÀ525A 5266 E2F8
04-Sep-2014,09:57:48.639,ş€5252 5266 D5C4
04-Sep-2014,09:59:15.681,şÀ5252 5266 DBBD
04-Sep-2014,09:59:19.678,ş€4252 5266 E7E7
04-Sep-2014,09:59:25.897,şÀ5252 5260 FECC
04-Sep-2014,09:59:27.896,ş€525A 5266 E5C7
04-Sep-2014,09:59:29.894,şÀ12D2 52E6 F1F5
04-Sep-2014,09:59:50.872,ş€5252 5200 F4EB
04-Sep-2014,09:59:52.873,şÀ5252 5A66 D9BE
04-Sep-2014,09:59:54.874,ş€5272 5266 F0D9
04-Sep-2014,09:59:56.874,şÀ525A 5266 E5DE
04-Sep-2014,10:00:00.876,ş€5652 5266 EBF0
04-Sep-2014,10:00:04.876,şÀ5252 5267 ECBA
04-Sep-2014,10:00:06.876,ş€5272 5666 F6CC
04-Sep-2014,10:00:08.877,şÀ5252 5266 F6C3
04-Sep-2014,10:00:12.877,ş€5352 5266 DAB4
04-Sep-2014,10:00:20.415,şÀ5252 5266 099F
04-Sep-2014,10:00:22.416,ş€5252 5266 D6BB
04-Sep-2014,10:00:28.417,şÀ5252 5266 D3CF
04-Sep-2014,10:00:30.414,ş€5252 5266 F6C1
04-Sep-2014,10:00:37.780,şÀ5A00 0510 F6FD
04-Sep-2014,10:00:41.775,ş€5252 5266 DDB6
