Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time
23-Jul-2015,11:49:30.513,3B6E F99D,55,6A,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:00.610,D5D9 9723,A3,3F,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:01.088,334B 4B52,CD,B5,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:01.602,5566 4B4B,DE,85,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:02.091,334B 4A52,C9,C0,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:02.594,5566 4B4B,DC,8A,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:03.585,334B 4B52,C5,DE,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:06.559,3343 4B52,C7,E0,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:07.551,334B 4B52,CC,B9,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:08.543,334B 4B52,CC,B7,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:09.534,334B 4B52,CE,B6,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:10.523,334B 4B52,CE,B8,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:11.509,334B 4B52,CE,A9,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:16.030,334B 4B52,CB,B1,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:17.022,334B 4B52,CB,B1,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:18.014,334B 4B52,CB,B3,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:20.764,334B 4B52,C8,CA,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:22.868,334B 4FC0,D5,9D,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:29.916,334B 4FC0,D0,A6,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:30.907,310B 0352,C6,EA,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:31.897,334A 4B10,C4,D5,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:32.885,3343 4B52,C6,D5,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:42.946,3343 4B12,C5,E4,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:43.950,5566 4B4B,DF,89,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:57.338,5566 4B4B,DE,88,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:58.331,334B 4B52,C9,C0,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:50:59.323,334B 4B52,C9,C6,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:51:00.315,334B 4B52,C9,C1,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:51:01.307,334B 4B52,C9,C9,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:51:03.291,334B 4B52,CA,CD,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:51:04.283,334B 4B52,CC,B2,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:51:05.275,334B 4B52,CC,AE,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:51:07.259,334B 4B52,CC,A6,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:51:09.244,334B 4B52,CC,A8,Unit2,23-Jul-2015,11:49:30.015
23-Jul-2015,11:51:10.235,334B 4B52,CD,AD,Unit2,23-Jul-2015,11:49:30.015
