Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time
04-Sep-2014,09:05:48.112,BE57 7EFB,9F,C5,04-Sep-2014,09:05:47.518
04-Sep-2014,09:05:52.173,6DBB 40FA,8A,58,04-Sep-2014,09:05:47.518
04-Sep-2014,09:05:54.170,5257 5A66,D0,E1,04-Sep-2014,09:05:47.518
04-Sep-2014,09:06:05.618,7080 0082,CF,F8,04-Sep-2014,09:05:47.518
04-Sep-2014,09:06:09.617,5252 5266,EC,D7,04-Sep-2014,09:05:47.518
04-Sep-2014,09:06:55.910,5252 5266,D3,D4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:08:57.686,5252 5266,DE,B4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:10:04.313,5252 5266,D4,C1,04-Sep-2014,09:05:47.518
04-Sep-2014,09:10:16.313,5252 5266,D1,DD,04-Sep-2014,09:05:47.518
04-Sep-2014,09:10:36.510,5252 5266,D9,B5,04-Sep-2014,09:05:47.518
04-Sep-2014,09:10:38.510,D252 5266,E0,D2,04-Sep-2014,09:05:47.518
04-Sep-2014,09:10:43.831,5252 5266,DE,B2,04-Sep-2014,09:05:47.518
04-Sep-2014,09:10:44.510,55D5 0A5D,D0,FF,04-Sep-2014,09:05:47.518
04-Sep-2014,09:10:45.793,5256 52E6,ED,E6,04-Sep-2014,09:05:47.518
04-Sep-2014,09:10:48.510,5557 2A55,DA,BB,04-Sep-2014,09:05:47.518
04-Sep-2014,09:10:52.510,5A52 526E,ED,E6,04-Sep-2014,09:05:47.518
04-Sep-2014,09:11:00.512,5272 5266,D1,CD,04-Sep-2014,09:05:47.518
04-Sep-2014,09:11:02.513,5252 5266,DD,E5,04-Sep-2014,09:05:47.518
04-Sep-2014,09:11:06.515,525A 52E6,D2,D4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:11:10.516,5FD2 5A66,E5,E6,04-Sep-2014,09:05:47.518
04-Sep-2014,09:11:14.518,5252 5266,D1,C9,04-Sep-2014,09:05:47.518
04-Sep-2014,09:11:20.521,5A73 5266,D1,CB,04-Sep-2014,09:05:47.518
04-Sep-2014,09:11:30.527,D252 5676,CB,FF,04-Sep-2014,09:05:47.518
04-Sep-2014,09:11:52.520,5243 D676,CD,F0,04-Sep-2014,09:05:47.518
04-Sep-2014,09:12:08.511,5A52 526E,CE,FF,04-Sep-2014,09:05:47.518
04-Sep-2014,09:14:01.187,410C 1020,CE,FC,04-Sep-2014,09:05:47.518
04-Sep-2014,09:14:45.065,5751 AE75,CB,FF,04-Sep-2014,09:05:47.518
04-Sep-2014,09:15:16.012,5E52 5266,CF,D7,04-Sep-2014,09:05:47.518
04-Sep-2014,09:20:40.392,5555 2AD5,D1,D3,04-Sep-2014,09:05:47.518
04-Sep-2014,09:20:52.466,5554 0000,D3,D5,04-Sep-2014,09:05:47.518
04-Sep-2014,09:20:54.425,5555 2A55,DB,B8,04-Sep-2014,09:05:47.518
04-Sep-2014,09:21:07.658,5000 0080,DB,DB,04-Sep-2014,09:05:47.518
04-Sep-2014,09:21:09.617,5555 2A55,DF,A7,04-Sep-2014,09:05:47.518
04-Sep-2014,09:24:31.523,0000 0000,DE,B9,04-Sep-2014,09:05:47.518
04-Sep-2014,09:24:35.522,5252 5266,E5,D3,04-Sep-2014,09:05:47.518
04-Sep-2014,09:24:39.521,5252 5366,F8,D6,04-Sep-2014,09:05:47.518
04-Sep-2014,09:24:41.518,5252 7266,E5,CD,04-Sep-2014,09:05:47.518
04-Sep-2014,09:24:47.528,5253 5240,FB,CD,04-Sep-2014,09:05:47.518
04-Sep-2014,09:24:49.527,52F2 5366,E3,FF,04-Sep-2014,09:05:47.518
04-Sep-2014,09:24:51.527,7256 5266,F3,FF,04-Sep-2014,09:05:47.518
04-Sep-2014,09:24:53.526,5252 526E,F1,D3,04-Sep-2014,09:05:47.518
04-Sep-2014,09:24:55.525,5252 5267,EA,E0,04-Sep-2014,09:05:47.518
04-Sep-2014,09:24:57.524,5252 5266,F4,CD,04-Sep-2014,09:05:47.518
04-Sep-2014,09:24:59.520,5252 5266,F6,B3,04-Sep-2014,09:05:47.518
04-Sep-2014,09:25:03.531,5252 5264,F4,DA,04-Sep-2014,09:05:47.518
04-Sep-2014,09:25:05.530,5252 126E,00,CA,04-Sep-2014,09:05:47.518
04-Sep-2014,09:25:07.526,5252 5266,E8,BC,04-Sep-2014,09:05:47.518
04-Sep-2014,09:25:17.179,5250 0000,E7,BF,04-Sep-2014,09:05:47.518
04-Sep-2014,09:26:43.103,5253 52F6,E1,CE,04-Sep-2014,09:05:47.518
04-Sep-2014,09:26:45.062,5555 2A55,CD,F3,04-Sep-2014,09:05:47.518
04-Sep-2014,09:26:47.021,5555 6A55,D3,CC,04-Sep-2014,09:05:47.518
04-Sep-2014,09:27:07.120,DD55 6A55,D0,D7,04-Sep-2014,09:05:47.518
04-Sep-2014,09:27:28.866,5400 0000,D2,BF,04-Sep-2014,09:05:47.518
04-Sep-2014,09:29:22.701,52D0 5266,EA,F4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:29:24.659,5DD5 3E55,D0,F5,04-Sep-2014,09:05:47.518
04-Sep-2014,09:29:47.349,4400 0004,D0,F6,04-Sep-2014,09:05:47.518
04-Sep-2014,09:29:49.349,5252 7266,D6,CF,04-Sep-2014,09:05:47.518
04-Sep-2014,09:29:51.349,5252 5266,E8,E8,04-Sep-2014,09:05:47.518
04-Sep-2014,09:29:53.346,5252 5266,DF,AE,04-Sep-2014,09:05:47.518
04-Sep-2014,09:29:55.343,5252 5266,DD,AA,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:01.604,4000 0000,DA,CC,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:03.602,D272 5266,D8,DE,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:07.995,5252 5266,EA,E5,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:09.996,5252 5266,F2,D4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:11.997,52DA 5266,F3,DB,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:13.997,52D3 5266,F2,DB,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:15.996,5252 5266,F2,DB,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:17.995,5272 5267,F0,D4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:19.995,52D2 5266,EF,D0,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:21.996,7252 5266,EB,D4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:23.993,5252 5266,FE,B1,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:54.725,5244 0020,01,D5,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:56.723,D252 5266,F0,D4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:30:58.719,5252 5266,FF,B6,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:04.526,4020 20A0,FD,EB,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:06.523,5252 5666,F8,BE,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:08.520,5252 5266,F7,B2,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:10.517,5252 5266,F7,BB,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:21.746,5252 4000,F8,D0,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:23.744,5252 5266,F8,D6,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:39.618,5252 5600,FC,D4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:41.619,5252 5266,EA,E5,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:45.619,5252 5266,E3,CD,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:47.619,5252 5266,DF,A5,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:49.618,5256 52E7,EF,F3,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:53.620,5252 5266,EB,D2,04-Sep-2014,09:05:47.518
04-Sep-2014,09:31:55.620,5252 5276,E7,D4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:02.998,5252 5266,E4,D4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:06.998,52D2 5266,D7,B2,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:08.999,D252 5367,CF,F4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:14.999,52D2 5266,D0,E7,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:23.000,52D6 5266,CF,E9,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:25.001,5252 7266,DA,BC,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:27.001,5352 1266,D0,D5,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:39.000,5252 5A66,D5,B4,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:45.035,D252 5266,D9,CE,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:48.997,5252 5266,D5,B2,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:55.030,D272 5666,D0,E0,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:56.994,1A52 5266,CF,FF,04-Sep-2014,09:05:47.518
04-Sep-2014,09:32:58.993,525E 5B66,E4,FB,04-Sep-2014,09:05:47.518
04-Sep-2014,09:33:08.990,5252 5266,D2,C3,04-Sep-2014,09:05:47.518
04-Sep-2014,09:34:40.785,5252 5266,E2,E9,04-Sep-2014,09:05:47.518
04-Sep-2014,09:35:33.290,45D5 2A45,CF,FE,04-Sep-2014,09:05:47.518
04-Sep-2014,09:35:41.840,5555 AA55,DA,BC,04-Sep-2014,09:05:47.518
04-Sep-2014,09:36:52.250,5555 0000,D9,D2,04-Sep-2014,09:05:47.518
04-Sep-2014,09:37:22.343,5557 6A55,CF,F6,04-Sep-2014,09:05:47.518
04-Sep-2014,09:38:05.938,5540 0000,CE,DC,04-Sep-2014,09:05:47.518
04-Sep-2014,09:39:11.478,5555 2A55,DE,AD,04-Sep-2014,09:05:47.518
04-Sep-2014,09:39:13.476,5252 5266,D5,C1,04-Sep-2014,09:05:47.518
04-Sep-2014,09:39:15.475,5252 5266,D3,BB,04-Sep-2014,09:05:47.518
04-Sep-2014,09:39:21.473,7A5A 5266,E7,CB,04-Sep-2014,09:05:47.518
04-Sep-2014,09:39:23.470,5252 5A66,E9,BC,04-Sep-2014,09:05:47.518
04-Sep-2014,09:39:25.466,5252 5266,F7,CD,04-Sep-2014,09:05:47.518
04-Sep-2014,09:39:48.195,5252 5264,F6,CC,04-Sep-2014,09:05:47.518
04-Sep-2014,09:39:50.194,5252 5266,F1,D8,04-Sep-2014,09:05:47.518
04-Sep-2014,09:39:54.720,5252 7276,F4,DF,04-Sep-2014,09:05:47.518
04-Sep-2014,09:40:05.083,5252 D267,EF,D8,04-Sep-2014,09:05:47.518
