Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time,Session_loc,Bird_ID,Home_Location,Sex,Status
20150907,15:24:11.280,66CC AAAA,CE,E9,Unit1,20150906,11:30:35.515,bad,5174,GATE,M,B
20150908,09:52:37.813,66CC AAAA,D5,B4,Unit1,20150906,11:30:35.515,bad,5174,GATE,M,B
20150908,11:06:51.058,5566 4B4B,D4,C7,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150908,11:06:52.063,5566 4B4B,D1,D3,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150908,11:07:57.937,5566 4B4B,CF,E0,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150908,12:18:57.384,5566 4B4B,D4,B0,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150908,13:21:43.282,5566 4B4B,CD,EE,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150908,13:21:45.296,5566 4B4B,D0,C2,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150908,13:24:18.479,5566 4B4B,D2,E2,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150908,14:01:15.093,5566 4B4B,D2,D6,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150908,14:28:44.333,5566 4B4B,CF,E5,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150908,16:48:00.098,5566 4B4B,D9,BB,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,09:02:19.768,5566 4B4B,D0,D0,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,09:24:06.494,5566 4B4B,CE,D4,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,09:24:34.297,5566 4B4B,CD,FD,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,09:39:46.708,5566 4B4B,E2,CF,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,09:48:50.960,5566 4B4B,DD,BA,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,10:11:55.029,5566 4B4B,D5,B9,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,10:26:33.842,5566 4B4B,CC,FF,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,10:28:02.948,5566 4B4B,D8,B1,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,12:22:36.530,5566 4B4B,D4,B0,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,14:25:41.822,5566 4B4B,D1,CC,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,16:36:45.886,5566 4B4B,DB,B6,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150909,16:47:24.498,5566 4B4B,E2,DD,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150910,08:22:25.006,5566 4B4B,DE,AC,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150910,08:53:50.006,5566 4B4B,D6,BF,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150910,08:56:14.637,5566 4B4B,D3,BA,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150910,09:10:07.790,5566 4B4B,D4,D3,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150910,09:32:25.808,5566 4B4B,D0,CC,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150910,09:32:28.825,5566 4B4B,D3,CC,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150910,09:54:35.230,5566 4B4B,D2,B9,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
20150910,10:00:27.907,5566 4B4B,DA,B3,Unit1,20150908,10:50:06.518,bad,5697,CAVI,F,H
