Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Jan-2016,09:38:39.012,34D5 31D3, 3,36,19-Jan-2016,21:56:41.602
20-Feb-2016,08:54:50.972,66BF FF80, F,0A,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:51.514,66AA B4D5, E,79,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:52.026,5252 4B55, E,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:52.125,5266 552A, D,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:53.010,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:53.591,66AA B4D5, E,B8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:54.078,5252 4B55, E,39,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:54.178,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:55.048,5266 5252, E,C9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:55.669,66AA B4D5, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:56.130,5252 4B55, E,59,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:56.231,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:57.082,5266 5252, E,C9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:57.746,66AA B4D5, E,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:58.182,5252 4B55, E,28,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:58.284,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:59.117,5266 5252, E,D9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:54:59.824,66AA B4D5, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:00.169,5252 4B55, E,49,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:00.269,66AA AD99, E,EA,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:00.337,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:01.150,5266 5252, E,B8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:01.901,66AA B4D5, F,19,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:02.176,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:02.285,66AA AD99, E,D9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:02.390,5266 552A, D,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:03.179,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:03.979,66AA B4D5, F,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:04.185,5252 4B55, E,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:04.337,66AA AD99, E,D9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:04.444,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:06.056,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:06.196,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:06.389,66AA AD99, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:06.497,5266 552A, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:08.134,5266 5252, E,B8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:08.207,5252 4B55, E,39,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:08.441,66AA AD99, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:08.550,5266 552A, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:10.211,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:10.493,5252 4B55, E,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:10.603,5266 552A, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:10.824,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:12.227,66AA B4D5, E,B8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:12.289,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:12.545,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:12.656,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:12.864,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:14.238,66AA B4D5, E,C9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:14.366,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:14.597,5252 4B55, E,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:14.709,5266 552A, D,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:14.903,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:16.024,66AA B4D5, E,B9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:16.284,2DB4 AACB, D,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:16.444,66AA AD99, F,19,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:16.649,5252 4B55, E,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:16.763,5266 552A, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:16.942,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:18.259,66AA B4D5, E,C9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:18.522,66AA AD99, F,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:18.702,5252 4B55, E,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:18.815,5266 552A, D,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:18.980,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:20.269,6280 2484, C,4F,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:20.599,66AA AD99, E,E9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:20.754,5252 4B55, E,59,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:20.869,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:22.280,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:22.677,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:22.806,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:22.922,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:24.290,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:24.754,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:24.858,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:24.975,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:26.300,5266 5252, E,D9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:26.832,66AA AD99, F,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:26.910,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:27.028,5266 552A, D,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:28.311,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:28.909,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:29.082,5252 4B55, E,39,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:30.322,5266 5252, E,B8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:30.987,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:31.135,5252 4B55, E,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:32.333,5266 5252, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:33.065,66AA AD99, E,FA,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:33.188,5252 4B55, E,28,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:34.343,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:35.119,66AA AD99, E,D9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:35.241,5266 552A, C,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:36.354,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:37.171,66AA AD99, E,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:37.295,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:38.365,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:39.259,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:39.298,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:40.375,5252 4B55, E,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:41.276,66AA AD99, F,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:41.375,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:42.386,5252 4B55, E,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:43.328,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:44.396,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:45.380,66AA AD99, F,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:45.503,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:46.406,5266 5252, E,B8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:47.432,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:47.556,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:48.417,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:49.484,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:49.608,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:49.685,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:50.427,5252 4B55, E,28,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:51.537,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:51.661,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:51.763,5266 5252, E,B8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:52.437,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:53.624,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:53.714,5266 552A, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:53.840,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:54.448,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:55.640,66AA AD99, E,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:55.766,5266 552A, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:55.918,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:56.458,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:57.692,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:57.819,5266 552A, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:57.996,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:58.469,5252 4B55, E,49,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:59.744,66AA AD99, E,E9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:55:59.872,5266 552A, C,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:00.074,5266 5252, E,B8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:00.479,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:01.796,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:01.925,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:02.151,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:02.490,5252 4B55, E,28,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:03.848,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:03.978,5266 552A, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:04.229,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:04.500,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:05.900,66AA AD99, F,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:06.031,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:06.307,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:06.510,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:07.952,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:08.084,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:08.384,5266 5252, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:08.520,5252 4B55, E,49,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:10.004,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:10.137,5266 552A, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:10.462,5266 5252, E,B8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:10.530,5252 4B55, E,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:12.055,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:12.190,5266 552A, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:14.107,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:14.243,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:14.551,5266 5252, E,B8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:14.618,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:16.157,5252 4B55, E,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:16.295,5266 552A, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:16.561,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:16.695,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:18.209,5252 4B55, E,28,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:18.348,5266 552A, C,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:18.571,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:18.769,66AA AD99, E,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:20.261,5252 4B55, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:20.400,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:20.582,5266 5252, E,D9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:22.313,66AA AD99, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:22.453,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:22.592,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:22.918,66AA AD99, E,98,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:24.364,5252 4B55, C,C9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:24.506,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:24.604,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:24.994,66AA AD99, E,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:26.416,5252 4B55, D,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:26.559,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:27.072,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:28.467,5252 4B55, D,49,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:28.612,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:29.149,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:30.519,5252 4B55, C,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:30.634,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:31.227,66AA AD99, 0,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:32.571,5252 4B55, D,28,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:32.634,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:32.754,66AA AD99, 0,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:33.305,5266 5252, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:34.623,5252 4B55, D,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:34.772,5266 552A, D,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:35.383,5266 5252, E,D9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:36.674,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:36.825,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:37.461,5266 5252, E,E9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:38.726,5252 4B55, C,C9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:38.877,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:39.539,5266 5252, E,C9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:40.778,5252 4B55, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:40.931,5266 552A, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:41.617,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:42.829,5252 4B55, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:42.984,5266 552A, D,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:43.695,5266 5252, E,B8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:44.881,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:45.038,5266 552A, D,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:45.773,5266 5252, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:46.932,5252 4B55, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:47.092,5266 552A, C,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:47.851,5266 5252, E,D9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:48.984,5252 4B55, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:49.145,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:49.964,5266 5252, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:51.035,5252 4B55, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:51.199,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:52.006,5266 5252, E,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:53.087,5252 4B55, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:53.253,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:54.084,5266 5252, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:55.138,5252 4B55, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:55.306,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:56.162,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:57.190,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:57.360,5266 552A, D,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:58.240,5266 5252, F,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:59.241,5252 4B55, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:56:59.413,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:00.318,5266 5252, E,C9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:01.293,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:01.466,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:02.396,5266 5252, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:03.344,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:03.519,5266 552A, D,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:04.509,5266 5252, E,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:05.396,5252 4B55, D,28,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:05.573,5266 552A, D,09,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:06.551,5266 5252, E,D9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:07.447,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:07.626,5266 552A, D,19,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:08.629,5266 5252, E,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:09.499,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:09.679,5266 552A, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:10.707,5266 5252, F,19,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:11.550,5252 4B55, D,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:11.732,5266 552A, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:12.784,5266 5252, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:13.786,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:14.862,5266 5252, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:15.654,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:15.839,5266 552A, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:16.940,5266 5252, E,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:17.701,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:17.892,5266 552A, D,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:19.018,5266 5252, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:19.741,5252 4B55, C,F8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:21.095,5266 552A, D,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:21.776,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:21.931,5FFF F000, D,88,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:21.997,66AA AD99, 0,78,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:23.173,5266 5252, C,6B,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:23.925,5252 4B55, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:25.251,67FF F800, 0,78,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:26.139,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:26.679,5266 5252, C,8B,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:27.329,5266 552A, D,68,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:28.156,5252 4B55, D,18,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:28.725,5266 5252, C,9B,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:29.406,5266 552A, D,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:30.209,5252 4B55, D,28,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:30.772,5266 5252, C,8B,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:31.484,5266 552A, D,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:32.262,5252 4B55, C,F9,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:32.820,5266 5252, C,9B,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:33.562,5266 552A, D,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:34.868,5252 4B55, D,28,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:35.639,5266 552A, D,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:36.368,5252 4B55, D,08,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:36.954,5266 5252, C,7A,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:37.690,5266 552A, D,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:38.968,66AA B4D5, C,EA,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:39.795,5266 552A, D,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:40.509,5252 4B55, D,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:41.019,5266 5252, C,8B,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:41.763,5266 552A, D,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:41.872,66AA B4D5, E,49,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:42.526,5252 4B55, D,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:43.069,5266 5252, C,4C,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:43.802,5266 552A, D,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:43.950,66AA B4D5, E,98,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:44.384,5252 4B55, D,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:45.119,2DB4 AACF, E,88,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:45.840,5266 552A, D,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:46.028,66AA B4D5, E,C8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:46.631,5252 4B55, D,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:47.169,5266 5252, C,9B,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:47.879,5266 552A, D,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:48.106,66AA B4D5, E,D8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:48.683,5252 4B55, D,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:49.219,5266 5252, D,38,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:49.918,5266 552A, D,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:50.184,66AA B4D5, E,E8,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:50.735,5252 4B55, D,58,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:51.269,5266 5252, D,28,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:51.957,5266 552A, D,48,19-Feb-2016,08:42:49.017
20-Feb-2016,08:57:52.261,66AA B4D5, E,E9,19-Feb-2016,08:42:49.017
