Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Jan-2016,09:38:39.012,34D5 31D3, 3,36,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:26.037,4B50 4B64, C,BC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:28.075,4B52 4B66, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:30.112,4B52 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:34.186,4B42 0B66, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:36.223,4352 4B26, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:38.260,4852 4B06, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:39.278,4B50 0B66, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:42.334,0940 4B06, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:45.389,4B52 0B66, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:47.427,4B52 4A40, C,AE,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:50.482,4B02 4122, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:53.538,4B52 4000, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:54.556,4B52 4B66, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:55.575,4340 0946, C,7C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:56:57.612,4352 4326, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:01.686,4B52 0B06, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:07.796,0B52 4306, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:09.833,4942 0A06, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:10.852,4B52 4266, C,6C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:15.944,0B50 0B66, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:16.963,4952 4046, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:20.018,4B52 0B46, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:23.073,0B42 0842, C,7D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:25.110,4352 4326, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:28.165,4B42 4960, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:40.386,4B52 4960, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:43.442,4950 0840, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:45.479,4B52 4A44, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:46.497,4B52 4B66, C,BC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:50.571,4B52 4966, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:51.590,4350 0B46, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:57:58.720,4850 0B46, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:00.756,4B52 4362, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:01.774,4B52 4366, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:03.811,4952 4966, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:04.829,4B52 4326, C,7C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:06.867,0B50 0366, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:11.959,4B52 4B66, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:17.050,4B12 4364, C,7C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:19.087,4B52 0B24, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:21.124,4B42 4B62, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:22.143,4B52 4B46, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:24.180,4352 4366, C,7D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:31.309,4342 0B46, C,DD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:34.364,4B12 4862, C,7C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:37.420,4B52 4966, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:40.475,4B52 4B20, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:41.494,4B52 4066, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:45.568,4B52 4040, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:53.715,4350 4946, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:55.752,4B50 0266, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:56.771,0B42 4A66, C,CD,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:57.789,4A42 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:58:59.826,4B52 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:02.881,4B52 0926, C,7D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:05.937,4952 4066, C,8B,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:06.955,4B52 4326, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:10.010,4B52 0A62, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:14.085,4B12 4B66, C,9E,19-Jan-2016,21:56:41.602
20-Jan-2016,13:59:15.103,4352 4B64, C,AC,19-Jan-2016,21:56:41.602
