Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time,Session_loc,Bird_ID,Home_Location,Sex,Status
20151117,12:37:08.505,66AD B4CC,CF,DA,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:37:11.442,5566 4B2A,D1,97,Unit6,20151117,12:36:58.551,CABI,3399,KNOL,M,B
20151117,12:37:12.422,66AD B4CC,CF,AF,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:37:29.864,66AD B4CC,D1,B7,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:37:35.769,5566 4B2A,D0,A6,Unit6,20151117,12:36:58.551,CABI,3399,KNOL,M,B
20151117,12:37:37.732,66AD B4CC,D4,B8,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:37:38.712,66AD B4CC,D1,A8,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:37:45.179,66AD B4CC,D2,B2,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:37:46.160,66AD B4CC,D2,AD,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:37:47.140,66AD B4CC,CF,A3,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:37:53.988,5566 4B2A,CF,9F,Unit6,20151117,12:36:58.551,CABI,3399,KNOL,M,B
20151117,12:37:54.969,66AD B4CC,D2,B3,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:37:55.949,66AD B4CC,D2,AC,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:38:03.525,66AD B4CC,D0,BE,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:38:12.399,66AD B4CC,D2,A7,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:38:13.379,66AD B4CC,D2,A8,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:38:19.122,5566 4B2A,D1,AC,Unit6,20151117,12:36:58.551,CABI,3399,KNOL,M,B
20151117,12:38:22.064,66AD B4CC,D6,AA,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:38:29.172,66AD B4CC,D2,B4,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:38:36.658,66AD B4CC,D4,A6,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:38:36.719,5566 4B2A,CF,AB,Unit6,20151117,12:36:58.551,CABI,3399,KNOL,M,B
20151117,12:38:38.679,66AD B4CC,CF,95,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:38:45.825,66AD B4CC,D4,C1,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:38:47.750,66AD B4CC,D2,9C,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:38:54.673,66AD B4CC,D2,BB,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:39:02.353,66AD B4CC,D1,B5,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:39:11.016,66AD B4CC,D1,AA,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:39:25.941,5566 4B2A,D1,97,Unit6,20151117,12:36:58.551,CABI,3399,KNOL,M,B
20151117,12:39:26.923,66AD B4CC,D2,B1,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:39:34.861,66AD B4CC,D2,AE,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:39:35.841,66AD B4CC,D2,B5,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:39:46.431,66AD B4CC,D4,C3,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:39:50.612,5566 4B2A,CE,A3,Unit6,20151117,12:36:58.551,CABI,3399,KNOL,M,B
20151117,12:39:51.592,66AD B4CC,D3,B0,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:40:15.228,66AD B4CC,D0,AE,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:40:34.722,66AD B4CC,D1,CC,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:40:37.352,5566 4B2A,CF,9E,Unit6,20151117,12:36:58.551,CABI,3399,KNOL,M,B
20151117,12:40:47.195,66AD B4CC,D1,BC,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:40:59.389,66AD B4CC,D2,B2,Unit6,20151117,12:36:58.551,CABI,5006,PLQE,M,B
20151117,12:41:01.191,5566 4B2A,CF,9D,Unit6,20151117,12:36:58.551,CABI,3399,KNOL,M,B
