Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time
07-Oct-2015,10:55:03.791,3B6F FD9D,55,6A,Unit2,07-Oct-2015,10:55:03.111
08-Oct-2015,09:43:57.444,D5D9 9723,A2,3F,Unit2,07-Oct-2015,10:55:03.111
08-Oct-2015,16:27:16.255,66CC AAAA,CB,B4,Unit2,07-Oct-2015,10:55:03.111
09-Oct-2015,11:54:06.374,66CC AAAA,C6,D3,Unit2,07-Oct-2015,10:55:03.111
09-Oct-2015,11:54:46.252,66CC A800,C8,C0,Unit2,07-Oct-2015,10:55:03.111
09-Oct-2015,12:18:13.125,6000 0000,CA,98,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,08:22:34.073,66CC AAAA,C7,CF,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,08:25:42.987,66CC A000,C8,A1,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,08:25:46.961,66CC AAAA,C8,C6,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,08:26:35.332,66C8 A0AA,C4,F3,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,08:26:47.250,66CC AAAA,C4,E3,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,08:26:49.234,66CC AAAA,CA,B8,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:01.295,66CC AAA8,CA,B8,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:03.281,66CC AAAA,CD,97,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:05.268,66CC AAAA,CF,95,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:07.255,66CC AAAA,CF,91,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:09.239,66CC AAAA,CF,97,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:18.090,66CC AA00,CD,93,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:20.040,66CC AAAA,D0,8D,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:22.026,66CC AAAA,D0,8F,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:24.012,66CC AAAA,CF,93,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:25.997,66CC AAAA,CF,92,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:27.982,66CC AAAA,D0,8F,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:29.968,66CC AAAA,CF,8E,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:31.951,66CC AAAA,CF,90,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:33.935,66CC AAAA,D0,92,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:35.919,66CC AAAA,D0,91,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:37.903,66CC AAAA,CF,95,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:39.889,66CC AAAA,D0,94,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:41.874,66CC AAAA,D0,94,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:43.860,66CC AAAA,CF,97,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:45.845,66CC AAAA,D1,98,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:47.830,66CC AAAA,D0,8F,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:49.816,66CC AAAA,D1,8D,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:51.803,66CC AAAA,D0,90,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:53.789,66CC AAAA,D0,8C,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:55.776,66CC AAAA,D0,92,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:57.762,66CC AAAA,CF,8D,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:06:59.747,66CC AAAA,D0,90,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:01.734,66CC AAAA,D1,8B,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:03.720,66CC AAAA,CF,93,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:05.705,66CC AAAA,CF,91,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:07.691,66CC AAAA,CF,90,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:09.676,66CC AAAA,CF,92,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:11.662,66CC AAAA,CF,90,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:13.648,66CC AAAA,CF,8A,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:15.633,66CC AAAA,D0,8F,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:17.619,66CC AAAA,D1,94,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:19.605,66CC AAAA,D0,8D,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:21.591,66CC AAAA,CF,8C,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:23.575,66CC AAAA,CF,92,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:25.560,66CC AAAA,D0,90,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:27.545,66CC AAAA,D0,8C,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:29.530,66CC AAAA,CF,8B,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:31.515,66CC AAAA,D0,95,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:33.500,66CC AAAA,D0,90,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:35.486,66CC AAAA,CE,99,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:37.470,66CC AAAA,CE,93,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:39.454,66CC AAAA,CF,94,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:41.438,66CC AAAA,CF,92,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:43.422,66CC AAAA,CF,8C,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:07:45.405,66CC AAAA,CF,90,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,09:11:31.153,6000 0000,C9,94,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,15:00:07.597,66CC AAAA,D0,8C,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,15:00:48.272,66CC AAAA,C7,C3,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,15:01:19.951,66CC AAAA,C4,D8,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,16:25:59.305,2000 0000,C4,A8,Unit2,07-Oct-2015,10:55:03.111
10-Oct-2015,18:37:24.545,3FEF FD9F,55,6E,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:08:09.574,D5D9 9723,A3,7F,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:08:52.828,66CC AA80,CE,9F,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:08:54.813,66CC AAAA,C6,C9,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:19:47.937,66CC AAAA,CE,A4,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:19:49.923,66CC AAAA,FB,93,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:19:51.906,66CC AAAA,EC,8B,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:20:23.680,66CC 8000,EF,8E,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:21:10.437,66CC AAAA,DC,8D,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:21:12.421,66CC AAAA,D4,8A,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:21:37.431,66CC AAAA,E9,8C,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:21:39.417,66CC AAAA,E5,8F,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:21:41.399,66CC AAAA,EA,95,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:17.756,6600 0000,E9,8A,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:19.744,66CC AAAA,C3,E7,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:21.731,66CC AAAA,E6,8B,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:23.718,66CC AAAA,EA,8D,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:25.703,66CC AAAA,E7,9C,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:27.688,66CC AAAA,E6,8C,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:29.675,66CC AAAA,CC,A7,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:31.662,66CC AAAA,DE,8F,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:33.647,66CC AAAA,E4,91,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:35.632,66CC AAAA,EA,95,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:37.618,66CC AAAA,EE,94,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:39.603,66CC AAAA,D1,93,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:41.586,66CC AAAA,DF,87,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:22:43.568,66CC AAAA,E3,8C,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:23:07.331,66C0 0000,F2,83,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:23:09.317,66CC AAAA,DE,8B,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:23:11.303,66CC AAAA,C9,CD,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:23:15.273,66CC AAAA,DE,88,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:23:25.197,66CC AAAA,D2,8E,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:23:35.124,66CC AAAA,C8,BB,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:23:37.107,66CC AAAA,D5,94,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:29:16.679,66CC AAAA,D4,8E,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:29:18.661,66CC AAA2,C9,DC,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:59:02.349,66C0 0000,C6,A1,Unit2,10-Oct-2015,18:37:24.015
11-Oct-2015,08:59:08.307,064C 28A0,C3,F9,Unit2,10-Oct-2015,18:37:24.015
