Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time,Session_loc,Bird_ID,Home_Location,Sex,Status
20160115,13:46:29.756,66CC AAAA,F6,8B,Unit3,20160115,13:31:43.135,WGAT,5174,GATE,M,B
20160115,13:46:31.738,66CC AAAA,F6,89,Unit3,20160115,13:31:43.135,WGAT,5174,GATE,M,B
20160115,13:52:05.854,66CC AAAA,F0,90,Unit3,20160115,13:31:43.135,WGAT,5174,GATE,M,B
20160116,09:30:50.286,66CC AAAA,E9,8D,Unit3,20160115,13:31:43.135,WGAT,5174,GATE,M,B
20160116,09:30:52.269,66CC AAAA,02,87,Unit3,20160115,13:31:43.135,WGAT,5174,GATE,M,B
20160116,09:32:33.186,66CC AAAA,F5,89,Unit3,20160115,13:31:43.135,WGAT,5174,GATE,M,B
20160116,09:32:35.171,66CC AAAA,06,89,Unit3,20160115,13:31:43.135,WGAT,5174,GATE,M,B
20160116,10:46:35.342,66CC AAAA,FC,8F,Unit3,20160115,13:31:43.135,WGAT,5174,GATE,M,B
20160116,11:38:36.817,66CC AAAA,12,84,Unit3,20160115,13:31:43.135,WGAT,5174,GATE,M,B
20160118,09:34:58.562,334B 4B52,DB,8F,Unit3,20160117,09:45:07.515,UPBA,5768,MACR,M,H
20160118,09:36:04.667,334B 4B55,CE,AF,Unit3,20160117,09:45:07.515,UPBA,4684,1600,M,B
20160118,09:36:18.104,334B 4B55,CE,AB,Unit3,20160117,09:45:07.515,UPBA,4684,1600,M,B
20160118,09:37:13.448,334B 4B55,CB,BF,Unit3,20160117,09:45:07.515,UPBA,4684,1600,M,B
20160118,09:37:14.441,334B 4B55,C8,BF,Unit3,20160117,09:45:07.515,UPBA,4684,1600,M,B
20160119,13:57:11.860,334B 2D34,D7,8A,Unit3,20160117,09:45:07.515,UPBA,5728,BLMP,M,H
20160119,13:57:12.844,334B 2D66,DA,86,Unit3,20160117,09:45:07.515,UPBA,5700,PLQE,F,H
20160119,14:09:19.406,334B 2D66,C4,D6,Unit3,20160117,09:45:07.515,UPBA,5700,PLQE,F,H
20160119,14:09:20.392,334B 2D66,C9,BD,Unit3,20160117,09:45:07.515,UPBA,5700,PLQE,F,H
20160119,14:09:22.370,334B 2D66,C6,C2,Unit3,20160117,09:45:07.515,UPBA,5700,PLQE,F,H
20160119,14:09:24.344,334B 2D66,C9,C2,Unit3,20160117,09:45:07.515,UPBA,5700,PLQE,F,H
20160119,14:09:25.328,334B 2D66,CE,92,Unit3,20160117,09:45:07.515,UPBA,5700,PLQE,F,H
20160120,11:48:21.026,334B 4B52,F0,87,Unit3,20160119,21:56:41.602,CAVI,5768,MACR,M,H
20160120,11:48:22.011,334B 4B52,F0,92,Unit3,20160119,21:56:41.602,CAVI,5768,MACR,M,H
20160120,11:48:22.996,334B 4B52,EF,95,Unit3,20160119,21:56:41.602,CAVI,5768,MACR,M,H
20160120,13:54:58.444,4B52 4B66,C9,D1,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:55:22.889,4B52 4B66,C9,C0,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:55:25.944,4B52 4B66,C6,CB,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:56:03.629,4B52 4B66,C8,C1,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:56:08.722,4B52 4B66,CB,C9,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:56:11.778,4B52 4B66,C8,D9,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:56:25.019,4B52 4B66,CA,C8,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:56:28.075,4B52 4B66,CA,D1,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:56:30.112,4B52 4B66,C8,CC,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:56:54.556,4B52 4B66,C8,D0,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:57:46.497,4B52 4B66,CB,CD,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:58:11.959,4B52 4B66,CA,C6,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:58:59.826,4B52 4B66,C9,D0,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:59:38.529,4B52 4B66,CB,D3,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:59:39.547,4B52 4B66,C9,D4,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,13:59:44.640,4B52 4B66,C9,D3,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:00:06.029,4B52 4B66,C9,D4,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:01:00.010,4B52 4B66,C8,D3,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:01:05.102,4B52 4B66,C9,C8,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:01:24.453,4B52 4B66,C8,C4,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:01:41.767,4B52 4B66,CA,CC,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:02:06.210,4B52 4B66,C8,D1,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:04:03.330,4B52 4B66,C9,CD,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:04:07.404,4B52 4B66,CA,C9,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:05:09.530,4B52 4B66,C8,CE,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:05:19.714,4B52 4B66,CC,CA,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:05:34.991,4B52 4B66,C8,CA,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:06:22.858,4B52 4B66,C9,CF,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:06:56.468,4B52 4B66,C9,CC,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:07:49.426,4B52 4B66,C7,D7,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:08:06.739,4B52 4B66,C9,CB,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:08:23.034,4B52 4B66,C8,D3,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:08:49.515,4B52 4B66,C9,C9,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:09:33.307,4B52 4B66,C9,C7,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:10:09.972,4B52 4B66,C8,C6,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:11:01.915,4B52 4B66,C8,CE,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:11:33.487,4B52 4B66,CA,DB,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:11:43.672,4B52 4B66,C8,C7,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:11:56.912,4B52 4B66,C8,D0,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:12:21.355,4B52 4B66,C9,D3,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
20160120,14:12:35.614,4B52 4B66,CB,CC,Unit3,20160119,21:56:41.602,CAVI,5714,KNOL,M,B
