Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time
24-Feb-2016,20:32:29.565,2820 0840,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,20:33:32.074,4028 0030,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,20:33:55.515,4800 630C,C7,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,20:36:22.372,1C12 0D01,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,20:36:36.979,8920 0021,E6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,20:46:48.594,0410 02C0,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,20:48:32.826,8082 0182,C8,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,20:54:48.425,1008 0010,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:04:23.453,A806 48B4,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:05:01.229,06B1 8928,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:05:13.101,11E0 C000,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:05:54.857,0002 6012,C5,FE,24-Feb-2016,11:52:46.551
24-Feb-2016,21:06:18.503,0848 2020,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:09:03.817,0200 008C,C8,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:18:28.942,0820 0864,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:20:01.271,2600 08C8,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:20:18.941,0001 2600,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:22:09.166,0000 4001,C8,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:25:52.818,1201 0400,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:27:42.771,4480 6300,C9,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:28:13.618,0402 2840,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:31:51.858,A200 8405,E5,FC,24-Feb-2016,11:52:46.551
24-Feb-2016,21:33:49.044,0105 0140,C2,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:37:25.635,1111 801B,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:39:15.087,3000 0800,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:48:25.257,0811 D0C0,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:51:15.206,BCA5 42D0,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:51:45.990,0080 0031,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:56:11.849,0901 04C5,C7,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,21:59:44.316,304C 1822,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:06:08.957,0A40 7482,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:09:30.831,40C0 0001,C8,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:11:11.703,08A0 0051,C7,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:12:09.410,2000 C0A9,CA,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:22:12.576,0020 4400,C7,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:23:10.064,0801 0000,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:27:55.708,3080 4010,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:29:13.120,8400 0200,C8,FE,24-Feb-2016,11:52:46.551
24-Feb-2016,22:30:18.318,01C2 9021,D0,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:30:31.702,80C0 488F,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:43:08.524,0501 B220,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:45:45.809,408D 7040,C7,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:46:40.501,9028 0000,C4,FA,24-Feb-2016,11:52:46.551
24-Feb-2016,22:48:53.453,2003 0000,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:50:55.301,8989 2031,C7,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:54:16.393,8511 140B,E4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,22:58:34.578,6000 8090,C9,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:02:42.696,6118 0020,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:03:41.128,2401 E402,C8,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:08:13.471,0812 3454,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:10:18.628,210A 1000,C7,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:14:16.335,0180 0800,C3,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:14:25.254,2010 4A80,C8,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:16:10.836,5081 2802,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:18:13.864,2A20 0408,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:20:41.548,0122 0004,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:20:54.566,4250 0548,C5,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:24:39.781,0A04 3D01,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:28:46.639,9062 F034,C8,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:38:36.917,A204 2600,C4,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:38:40.249,080A C024,C6,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:41:19.263,0060 0001,C7,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:52:24.833,4210 202A,C8,FF,24-Feb-2016,11:52:46.551
24-Feb-2016,23:53:19.314,8310 2800,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:00:47.111,1610 2002,C2,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:02:04.232,1003 4110,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:05:42.766,2250 8010,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:06:24.802,84B8 1098,C9,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:06:54.927,0081 0000,C2,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:13:23.727,0040 8088,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:15:24.411,0900 D816,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:15:37.536,4084 4200,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:15:53.070,0130 1201,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:16:26.692,6251 3400,D0,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:20:53.420,0100 0448,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:24:20.176,4500 1000,C3,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:25:20.324,9018 A441,C8,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:26:14.552,21B4 070A,CB,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:38:03.358,0804 48C0,C7,FB,24-Feb-2016,11:52:46.551
25-Feb-2016,00:44:12.634,0200 D000,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:49:38.276,0A02 8493,C5,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:55:36.368,9804 0011,C7,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:55:52.261,0150 1E40,C6,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:56:14.600,420C 8028,C8,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:56:51.216,104B 5401,C4,FF,24-Feb-2016,11:52:46.551
25-Feb-2016,00:58:13.109,0C90 0043,C4,FC,24-Feb-2016,11:52:46.551
