Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-May-2015,09:02:02.197,66CC ADB4, D,18,19-May-2015,12:33:49.091
20-May-2015,09:02:52.090,5566 4B52, C,6C,19-May-2015,12:33:49.091
20-May-2015,09:06:27.033,5566 4B52, C,8D,19-May-2015,12:33:49.091
20-May-2015,09:06:28.033,5066 4B12, C,5E,19-May-2015,12:33:49.091
20-May-2015,09:08:08.228,7FFF 4000, C,8D,19-May-2015,12:33:49.091
20-May-2015,09:08:10.230,5566 4B52, C,E9,19-May-2015,12:33:49.091
20-May-2015,09:17:20.415,4506 4B52, C,FA,19-May-2015,12:33:49.091
20-May-2015,09:17:26.416,66CC ADB4, D,D8,19-May-2015,12:33:49.091
20-May-2015,09:17:28.415,66CC ADB4, D,48,19-May-2015,12:33:49.091
20-May-2015,10:45:44.106,66CC ADB4, D,08,19-May-2015,12:33:49.091
20-May-2015,11:44:17.279,66CC ADB4, C,CA,19-May-2015,12:33:49.091
20-May-2015,11:44:19.280,66CC ADB4, C,6D,19-May-2015,12:33:49.091
20-May-2015,11:44:21.278,66CC ADB4, C,F8,19-May-2015,12:33:49.091
20-May-2015,12:34:45.622,66C8 0000, D,D8,19-May-2015,12:33:49.091
20-May-2015,12:46:40.946,66CC ADB4, C,E9,19-May-2015,12:33:49.091
20-May-2015,12:46:42.947,66CC ADB4, C,AB,19-May-2015,12:33:49.091
20-May-2015,12:47:08.275,66CC ADB4, D,B8,19-May-2015,12:33:49.091
20-May-2015,12:47:12.278,66CC ADB4, C,9C,19-May-2015,12:33:49.091
20-May-2015,12:47:55.388,66CC ADB4, C,AB,19-May-2015,12:33:49.091
20-May-2015,12:47:57.391,66CC ADB4, C,9C,19-May-2015,12:33:49.091
20-May-2015,12:47:59.390,66CC ADB4, D,A8,19-May-2015,12:33:49.091
20-May-2015,12:50:51.289,66C8 0000, D,C8,19-May-2015,12:33:49.091
20-May-2015,12:50:53.287,66CC ADB4, E,28,19-May-2015,12:33:49.091
20-May-2015,12:50:56.789,66CC 0000, E,18,19-May-2015,12:33:49.091
20-May-2015,12:50:58.788,66CC ADB4, D,C8,19-May-2015,12:33:49.091
20-May-2015,12:51:07.051,66CC ADB0, D,C8,19-May-2015,12:33:49.091
20-May-2015,12:51:09.001,66CC AAAA, C,5D,19-May-2015,12:33:49.091
20-May-2015,12:51:10.988,66CC AAAA, C,4D,19-May-2015,12:33:49.091
