Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Jul-2014,06:19:03.465,5555 2A55, C,DA,19-Jul-2014,08:08:22.010
20-Jul-2014,06:19:50.838,66CC 99AA, C,5D,19-Jul-2014,08:08:22.010
20-Jul-2014,06:20:23.616,9989 35C3, C,6C,19-Jul-2014,08:08:22.010
20-Jul-2014,06:20:25.577,5555 2A55, C,E9,19-Jul-2014,08:08:22.010
20-Jul-2014,06:20:27.538,5555 2A55, C,F9,19-Jul-2014,08:08:22.010
20-Jul-2014,06:20:29.499,5555 2A55, D,08,19-Jul-2014,08:08:22.010
20-Jul-2014,06:20:31.459,5555 2A55, D,19,19-Jul-2014,08:08:22.010
20-Jul-2014,06:20:33.420,5555 2A55, C,E9,19-Jul-2014,08:08:22.010
20-Jul-2014,06:20:35.381,5555 2A55, C,E9,19-Jul-2014,08:08:22.010
20-Jul-2014,06:20:39.300,5555 2A55, C,D9,19-Jul-2014,08:08:22.010
20-Jul-2014,06:20:41.261,5555 2A55, D,C8,19-Jul-2014,08:08:22.010
20-Jul-2014,06:21:03.952,5555 2A55, C,F9,19-Jul-2014,08:08:22.010
20-Jul-2014,06:21:42.219,4000 0000, C,D9,19-Jul-2014,08:08:22.010
20-Jul-2014,06:24:50.745,9919 35C2, C,4D,19-Jul-2014,08:08:22.010
20-Jul-2014,06:24:54.665,5555 2A55, C,9C,19-Jul-2014,08:08:22.010
20-Jul-2014,06:25:02.257,5555 2A55, C,BA,19-Jul-2014,08:08:22.010
20-Jul-2014,06:25:04.216,5555 2A55, C,BA,19-Jul-2014,08:08:22.010
20-Jul-2014,06:25:10.092,5555 2A55, C,2E,19-Jul-2014,08:08:22.010
20-Jul-2014,06:30:18.083,5555 2A55, C,F9,19-Jul-2014,08:08:22.010
20-Jul-2014,06:30:48.385,5555 2A40, C,3C,19-Jul-2014,08:08:22.010
20-Jul-2014,06:34:10.964,66CC 99AA, C,F9,19-Jul-2014,08:08:22.010
20-Jul-2014,06:38:12.357,5555 2A55, C,8C,19-Jul-2014,08:08:22.010
20-Jul-2014,06:38:31.492,9999 35C3, C,5D,19-Jul-2014,08:08:22.010
20-Jul-2014,06:44:27.993,5555 2A00, C,6B,19-Jul-2014,08:08:22.010
20-Jul-2014,06:44:33.963,62CC 99AA, C,6D,19-Jul-2014,08:08:22.010
20-Jul-2014,06:44:35.949,66CC 99AA, C,CA,19-Jul-2014,08:08:22.010
20-Jul-2014,06:44:58.472,66CC 0000, C,D9,19-Jul-2014,08:08:22.010
20-Jul-2014,06:45:04.440,66CC 99AA, C,7C,19-Jul-2014,08:08:22.010
20-Jul-2014,06:45:10.406,66CC 99AA, C,D9,19-Jul-2014,08:08:22.010
