Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time
17-Nov-2015,14:14:01.538,3FEF FD9F,55,6E,17-Nov-2015,14:14:01.014
17-Nov-2015,14:14:25.146,D5D9 1723,A3,3F,17-Nov-2015,14:14:01.014
17-Nov-2015,14:14:52.698,9FFF F000,C7,E1,17-Nov-2015,14:14:01.014
17-Nov-2015,14:16:28.886,4BFF FF00,C6,D7,17-Nov-2015,14:14:01.014
17-Nov-2015,14:17:03.303,4B52 4B66,C6,C5,17-Nov-2015,14:14:01.014
17-Nov-2015,14:17:31.728,4FFF FC00,C6,E3,17-Nov-2015,14:14:01.014
17-Nov-2015,14:17:32.739,4B52 4B66,C7,CC,17-Nov-2015,14:14:01.014
17-Nov-2015,14:18:01.990,7FFF F000,CB,CD,17-Nov-2015,14:14:01.014
17-Nov-2015,14:18:25.324,7FFF FC00,CA,A7,17-Nov-2015,14:14:01.014
17-Nov-2015,14:18:49.188,4B52 4B66,C7,CD,17-Nov-2015,14:14:01.014
17-Nov-2015,14:18:50.199,4B52 4B66,C9,B9,17-Nov-2015,14:14:01.014
17-Nov-2015,14:19:12.296,4BFF FFE0,C9,CD,17-Nov-2015,14:14:01.014
17-Nov-2015,14:19:13.307,4B52 4B66,C9,C1,17-Nov-2015,14:14:01.014
17-Nov-2015,14:19:35.713,4B7F FFF8,C9,E3,17-Nov-2015,14:14:01.014
17-Nov-2015,14:20:01.056,4B52 4B66,CA,CD,17-Nov-2015,14:14:01.014
17-Nov-2015,14:20:23.304,4B7F FFF8,C6,E0,17-Nov-2015,14:14:01.014
17-Nov-2015,14:21:35.275,0B52 4B26,C7,D3,17-Nov-2015,14:14:01.014
17-Nov-2015,14:21:36.286,4B52 4B66,C8,C3,17-Nov-2015,14:14:01.014
17-Nov-2015,14:21:58.372,4B5F FFFE,C6,FE,17-Nov-2015,14:14:01.014
17-Nov-2015,14:22:21.323,4B52 4B66,C7,D2,17-Nov-2015,14:14:01.014
17-Nov-2015,14:23:55.915,4B52 4B66,C9,CA,17-Nov-2015,14:14:01.014
17-Nov-2015,14:24:20.046,4B52 7FFF,C8,DD,17-Nov-2015,14:14:01.014
17-Nov-2015,14:24:44.433,4B53 FFFF,CA,CA,17-Nov-2015,14:14:01.014
17-Nov-2015,14:25:15.065,4B52 4366,C6,DB,17-Nov-2015,14:14:01.014
17-Nov-2015,14:26:00.844,4BFF FF80,C7,D6,17-Nov-2015,14:14:01.014
17-Nov-2015,14:26:02.849,334B 2A55,EB,97,17-Nov-2015,14:14:01.014
17-Nov-2015,14:26:04.849,334B 2A55,F6,91,17-Nov-2015,14:14:01.014
17-Nov-2015,14:26:06.818,337F FF80,EB,8E,17-Nov-2015,14:14:01.014
17-Nov-2015,14:26:31.527,4B52 4B66,C6,C5,17-Nov-2015,14:14:01.014
17-Nov-2015,14:26:56.942,4B12 4B66,C7,C8,17-Nov-2015,14:14:01.014
17-Nov-2015,14:26:57.953,4B52 4B66,CA,B4,17-Nov-2015,14:14:01.014
17-Nov-2015,14:27:23.686,4B53 FFFF,C8,DE,17-Nov-2015,14:14:01.014
17-Nov-2015,14:27:48.859,437F FFF8,C6,FB,17-Nov-2015,14:14:01.014
17-Nov-2015,14:28:15.322,4B52 4B66,CA,B1,17-Nov-2015,14:14:01.014
17-Nov-2015,14:28:43.789,4B52 4B66,C8,C9,17-Nov-2015,14:14:01.014
17-Nov-2015,14:29:11.494,4B3F FFF0,C7,FF,17-Nov-2015,14:14:01.014
17-Nov-2015,14:29:12.506,4B52 4B66,C8,CE,17-Nov-2015,14:14:01.014
17-Nov-2015,14:29:40.765,4B7F FFF0,C8,EE,17-Nov-2015,14:14:01.014
17-Nov-2015,14:30:09.415,4B7F FFE0,C7,E9,17-Nov-2015,14:14:01.014
17-Nov-2015,14:30:37.395,4B7F FFE0,C8,EB,17-Nov-2015,14:14:01.014
17-Nov-2015,14:31:07.126,4B52 4B66,CB,CE,17-Nov-2015,14:14:01.014
17-Nov-2015,14:31:08.137,4B52 4B66,C9,BB,17-Nov-2015,14:14:01.014
17-Nov-2015,14:31:37.596,4B3F FFC0,C7,DE,17-Nov-2015,14:14:01.014
17-Nov-2015,14:32:07.620,4B52 4B66,C6,D2,17-Nov-2015,14:14:01.014
17-Nov-2015,14:32:38.004,4B42 4B66,C6,D2,17-Nov-2015,14:14:01.014
17-Nov-2015,14:33:06.595,4BFF FF80,C7,DB,17-Nov-2015,14:14:01.014
17-Nov-2015,14:33:33.789,4BFF FF80,C6,EB,17-Nov-2015,14:14:01.014
17-Nov-2015,14:38:25.960,4B52 4B66,C7,C8,17-Nov-2015,14:14:01.014
17-Nov-2015,14:41:19.743,4BFF FF80,C9,E9,17-Nov-2015,14:14:01.014
17-Nov-2015,14:42:28.819,4B52 4B66,CA,BE,17-Nov-2015,14:14:01.014
17-Nov-2015,14:42:55.601,4FFF FC00,C6,D8,17-Nov-2015,14:14:01.014
17-Nov-2015,14:43:25.217,4B52 4966,C8,CB,17-Nov-2015,14:14:01.014
17-Nov-2015,14:43:26.228,4B42 4B66,C7,D2,17-Nov-2015,14:14:01.014
17-Nov-2015,14:43:55.996,7FFF FC00,C6,E6,17-Nov-2015,14:14:01.014
17-Nov-2015,14:44:27.179,0B52 4966,C5,D1,17-Nov-2015,14:14:01.014
17-Nov-2015,14:44:58.196,4FFF FE00,C9,D8,17-Nov-2015,14:14:01.014
17-Nov-2015,14:45:09.151,7FFF F800,CA,CC,17-Nov-2015,14:14:01.014
17-Nov-2015,14:45:10.151,334B 2A55,FA,9F,17-Nov-2015,14:14:01.014
17-Nov-2015,14:45:11.151,334B 2A55,FB,8D,17-Nov-2015,14:14:01.014
17-Nov-2015,14:45:59.703,334B 2A55,FB,99,17-Nov-2015,14:14:01.014
17-Nov-2015,14:46:36.966,4B52 4B66,C6,C8,17-Nov-2015,14:14:01.014
17-Nov-2015,14:48:56.577,9FFF E000,C6,D7,17-Nov-2015,14:14:01.014
17-Nov-2015,14:49:43.551,4B5F FFF0,C6,E5,17-Nov-2015,14:14:01.014
17-Nov-2015,14:50:03.238,4B3F FFF0,C9,CB,17-Nov-2015,14:14:01.014
17-Nov-2015,14:52:24.057,334B 2A55,CC,9C,17-Nov-2015,14:14:01.014
17-Nov-2015,14:53:03.246,4B52 4B66,C6,B9,17-Nov-2015,14:14:01.014
17-Nov-2015,14:53:04.256,4B52 4B66,C8,CE,17-Nov-2015,14:14:01.014
17-Nov-2015,14:53:42.566,8000 0000,C8,95,17-Nov-2015,14:14:01.014
17-Nov-2015,14:54:17.121,4B52 4B66,CA,BB,17-Nov-2015,14:14:01.014
17-Nov-2015,14:54:49.677,4B52 4B66,C8,BA,17-Nov-2015,14:14:01.014
17-Nov-2015,14:54:50.686,4B52 4B66,C7,B1,17-Nov-2015,14:14:01.014
17-Nov-2015,14:55:24.289,9FFF F000,C5,CC,17-Nov-2015,14:14:01.014
17-Nov-2015,14:55:56.221,9FBF F000,C5,ED,17-Nov-2015,14:14:01.014
17-Nov-2015,14:56:27.336,4FFF FC00,C4,D6,17-Nov-2015,14:14:01.014
17-Nov-2015,14:56:57.886,7FFF F800,C6,E1,17-Nov-2015,14:14:01.014
17-Nov-2015,14:57:31.288,4B52 4B66,C6,D9,17-Nov-2015,14:14:01.014
17-Nov-2015,14:57:32.299,4B50 4B66,C8,C6,17-Nov-2015,14:14:01.014
17-Nov-2015,14:58:11.203,9FFF F000,C7,CE,17-Nov-2015,14:14:01.014
17-Nov-2015,14:59:19.513,9FFF E000,CB,B1,17-Nov-2015,14:14:01.014
17-Nov-2015,14:59:53.016,4B52 0B66,C7,B9,17-Nov-2015,14:14:01.014
17-Nov-2015,15:00:26.834,4B52 4B26,C4,CA,17-Nov-2015,14:14:01.014
17-Nov-2015,15:01:02.632,4B52 4B26,C6,BD,17-Nov-2015,14:14:01.014
17-Nov-2015,15:01:38.260,4FFF F800,C5,D9,17-Nov-2015,14:14:01.014
17-Nov-2015,15:02:13.411,9FFF F000,C6,CD,17-Nov-2015,14:14:01.014
17-Nov-2015,15:05:55.568,4B02 4B22,C7,D8,17-Nov-2015,14:14:01.014
17-Nov-2015,15:14:42.525,4B3F FFC0,C4,F4,17-Nov-2015,14:14:01.014
17-Nov-2015,15:14:43.508,334B 2D66,FC,91,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:09.659,334B 3FFF,FE,9A,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:10.645,334B 2D66,FE,89,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:11.627,334B 2D66,00,85,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:25.114,334B 2FFF,00,8C,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:26.277,334B 2A55,EB,95,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:27.265,334B 2D66,00,87,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:28.253,334B 2D66,FE,8B,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:29.241,334B 2D66,02,8A,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:30.228,334B 2D66,03,84,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:31.214,334B 2D66,FE,84,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:32.197,334B 2D66,FB,8D,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:54.863,334B 2FFF,00,8F,17-Nov-2015,14:14:01.014
17-Nov-2015,15:16:55.847,334B 2D66,FF,84,17-Nov-2015,14:14:01.014
17-Nov-2015,15:17:28.174,334B 2D7F,00,8B,17-Nov-2015,14:14:01.014
17-Nov-2015,15:17:29.158,334B 2D66,FC,85,17-Nov-2015,14:14:01.014
17-Nov-2015,15:17:44.648,334B 2D66,FE,8B,17-Nov-2015,14:14:01.014
17-Nov-2015,15:17:45.634,334B 2D66,00,84,17-Nov-2015,14:14:01.014
17-Nov-2015,15:17:46.618,334B 2D66,03,88,17-Nov-2015,14:14:01.014
17-Nov-2015,15:17:47.601,334B 2D66,03,87,17-Nov-2015,14:14:01.014
17-Nov-2015,15:17:48.584,334B 2D66,FE,84,17-Nov-2015,14:14:01.014
17-Nov-2015,15:17:49.565,334B 2D64,FF,87,17-Nov-2015,14:14:01.014
17-Nov-2015,15:18:03.580,334B 8000,02,87,17-Nov-2015,14:14:01.014
17-Nov-2015,15:18:04.563,334B 2D66,FE,84,17-Nov-2015,14:14:01.014
17-Nov-2015,15:18:49.418,334B 8000,FB,8D,17-Nov-2015,14:14:01.014
17-Nov-2015,15:18:50.401,334B 2D66,FE,85,17-Nov-2015,14:14:01.014
17-Nov-2015,15:19:28.661,334B 3FFF,F4,96,17-Nov-2015,14:14:01.014
17-Nov-2015,15:19:30.632,334B 2D66,F9,83,17-Nov-2015,14:14:01.014
17-Nov-2015,15:19:31.615,334B 2D66,00,82,17-Nov-2015,14:14:01.014
17-Nov-2015,15:32:28.636,E000 0000,FC,81,17-Nov-2015,14:14:01.014
17-Nov-2015,15:33:25.909,4B52 4B66,C9,C9,17-Nov-2015,14:14:01.014
18-Nov-2015,07:28:46.996,4B42 4B66,C9,C7,17-Nov-2015,14:14:01.014
18-Nov-2015,09:24:34.954,334B 2D34,08,86,17-Nov-2015,14:14:01.014
18-Nov-2015,09:24:35.952,334B 2A55,E9,AA,17-Nov-2015,14:14:01.014
18-Nov-2015,09:28:17.833,339F FF00,E3,AA,17-Nov-2015,14:14:01.014
18-Nov-2015,09:28:18.832,3349 2A55,F7,A2,17-Nov-2015,14:14:01.014
18-Nov-2015,09:28:19.829,334B 2A55,FB,93,17-Nov-2015,14:14:01.014
18-Nov-2015,09:28:47.563,CFFE 0000,FA,8B,17-Nov-2015,14:14:01.014
18-Nov-2015,09:28:48.560,334B 2A55,FE,8F,17-Nov-2015,14:14:01.014
18-Nov-2015,09:29:20.595,334F FFF0,FF,A4,17-Nov-2015,14:14:01.014
18-Nov-2015,09:30:08.777,334F FFF0,FD,88,17-Nov-2015,14:14:01.014
18-Nov-2015,09:31:35.174,339F FF80,FE,97,17-Nov-2015,14:14:01.014
18-Nov-2015,09:31:36.173,334B 2A55,0E,AE,17-Nov-2015,14:14:01.014
18-Nov-2015,09:43:54.778,334B 2A57,10,8E,17-Nov-2015,14:14:01.014
18-Nov-2015,09:43:55.776,334B 2A55,EC,98,17-Nov-2015,14:14:01.014
18-Nov-2015,11:19:51.776,334B 3FFF,ED,A9,17-Nov-2015,14:14:01.014
18-Nov-2015,11:19:52.787,4B52 4B66,D3,90,17-Nov-2015,14:14:01.014
18-Nov-2015,11:20:11.009,9FFF C000,D1,8E,17-Nov-2015,14:14:01.014
18-Nov-2015,11:20:12.022,4B52 4B66,D2,91,17-Nov-2015,14:14:01.014
18-Nov-2015,11:20:31.470,4B52 4B00,D2,8B,17-Nov-2015,14:14:01.014
18-Nov-2015,11:20:32.482,4B52 4B66,D1,90,17-Nov-2015,14:14:01.014
18-Nov-2015,11:20:50.192,4B52 4B7F,D2,93,17-Nov-2015,14:14:01.014
18-Nov-2015,11:20:51.205,4B52 4B66,D2,91,17-Nov-2015,14:14:01.014
18-Nov-2015,11:21:09.107,4B52 4B67,D1,8D,17-Nov-2015,14:14:01.014
18-Nov-2015,11:21:10.120,4B52 4B66,D4,99,17-Nov-2015,14:14:01.014
18-Nov-2015,11:21:28.133,4B52 4B67,D2,90,17-Nov-2015,14:14:01.014
18-Nov-2015,11:21:29.146,4B52 4B66,D1,93,17-Nov-2015,14:14:01.014
