Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time
23-Sep-2015,15:18:34.565,F3FE FB9D,2F,D7,23-Sep-2015,15:18:34.019
23-Sep-2015,16:00:09.987,34D5 31D3,33,61,23-Sep-2015,15:18:34.019
23-Sep-2015,16:00:11.970,66CC AAAA,C8,C6,23-Sep-2015,15:18:34.019
23-Sep-2015,16:01:09.142,6000 0000,C9,8D,23-Sep-2015,15:18:34.019
23-Sep-2015,16:01:23.769,66CC AAAA,C3,D4,23-Sep-2015,15:18:34.019
23-Sep-2015,16:02:45.968,66CC AAAA,CB,B3,23-Sep-2015,15:18:34.019
23-Sep-2015,16:02:47.951,66CC AAAA,CA,BF,23-Sep-2015,15:18:34.019
23-Sep-2015,16:07:55.024,66CC A000,C9,AC,23-Sep-2015,15:18:34.019
23-Sep-2015,16:09:31.033,66CC AAAA,CC,AC,23-Sep-2015,15:18:34.019
23-Sep-2015,16:11:03.488,5567 FFFF,C8,E3,23-Sep-2015,15:18:34.019
23-Sep-2015,17:20:35.247,66CC AAAA,CC,A1,23-Sep-2015,15:18:34.019
24-Sep-2015,06:50:33.761,4444 15C0,C2,E5,23-Sep-2015,15:18:34.019
24-Sep-2015,06:51:40.622,334A 4B42,C4,E3,23-Sep-2015,15:18:34.019
24-Sep-2015,07:44:50.865,334B 4B52,C5,CD,23-Sep-2015,15:18:34.019
24-Sep-2015,07:44:51.852,314B 4B52,C4,DE,23-Sep-2015,15:18:34.019
24-Sep-2015,07:56:48.511,334B 4B52,C6,D4,23-Sep-2015,15:18:34.019
24-Sep-2015,07:58:57.490,5566 57EF,C5,FA,23-Sep-2015,15:18:34.019
24-Sep-2015,07:58:58.500,5566 552D,C8,BE,23-Sep-2015,15:18:34.019
24-Sep-2015,08:04:43.005,5566 552D,C8,C9,23-Sep-2015,15:18:34.019
24-Sep-2015,08:04:52.602,66CC AAAA,C7,C1,23-Sep-2015,15:18:34.019
24-Sep-2015,08:04:58.556,66CC AAAA,C8,C7,23-Sep-2015,15:18:34.019
24-Sep-2015,08:09:23.579,64C0 0000,C4,AC,23-Sep-2015,15:18:34.019
24-Sep-2015,08:39:46.542,334A 7BE8,C3,FF,23-Sep-2015,15:18:34.019
24-Sep-2015,08:39:47.556,5566 552D,CE,8C,23-Sep-2015,15:18:34.019
24-Sep-2015,08:39:48.565,5566 552D,CD,93,23-Sep-2015,15:18:34.019
24-Sep-2015,08:42:20.156,5566 552F,CD,9D,23-Sep-2015,15:18:34.019
24-Sep-2015,09:32:19.476,5466 1429,C4,F2,23-Sep-2015,15:18:34.019
24-Sep-2015,09:32:21.464,66CC CCB3,C9,B3,23-Sep-2015,15:18:34.019
24-Sep-2015,10:13:45.921,66CC CCB3,CE,96,23-Sep-2015,15:18:34.019
24-Sep-2015,10:28:37.049,5166 152C,C3,E5,23-Sep-2015,15:18:34.019
24-Sep-2015,10:49:21.078,5564 5124,C3,EC,23-Sep-2015,15:18:34.019
24-Sep-2015,10:49:22.090,5566 5525,C3,E4,23-Sep-2015,15:18:34.019
24-Sep-2015,11:10:42.657,5566 552D,C8,C7,23-Sep-2015,15:18:34.019
24-Sep-2015,13:42:37.637,4000 0000,C3,BA,23-Sep-2015,15:18:34.019
24-Sep-2015,13:42:38.646,5566 552D,CC,BA,23-Sep-2015,15:18:34.019
24-Sep-2015,13:46:07.114,5566 7FFF,CD,C0,23-Sep-2015,15:18:34.019
24-Sep-2015,13:46:08.123,5566 552D,CA,B5,23-Sep-2015,15:18:34.019
24-Sep-2015,13:48:22.766,5566 5780,CA,C1,23-Sep-2015,15:18:34.019
24-Sep-2015,13:48:23.776,5566 552D,C9,C4,23-Sep-2015,15:18:34.019
24-Sep-2015,13:50:39.225,5546 553F,C4,E9,23-Sep-2015,15:18:34.019
24-Sep-2015,13:50:40.234,5566 552D,CA,BD,23-Sep-2015,15:18:34.019
24-Sep-2015,13:51:52.437,5566 5FFF,C8,D8,23-Sep-2015,15:18:34.019
24-Sep-2015,13:56:01.650,553F FFF0,C8,E3,23-Sep-2015,15:18:34.019
24-Sep-2015,13:56:02.659,5566 552D,C9,BF,23-Sep-2015,15:18:34.019
24-Sep-2015,13:57:01.038,5566 7FFF,C8,E6,23-Sep-2015,15:18:34.019
