Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Sep-2014,08:18:41.445,3B6F FD9F, 5,56,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:34.658,5252 5266, D,C8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:36.657,5252 5266, C,CA,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:38.656,5252 5266, D,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:40.656,5252 5266, D,38,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:42.655,5252 5266, C,B9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:53:52.652,5252 5266, C,E9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:30.064,5252 5266, C,5D,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:41.002,66CC 99A0, C,7C,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:43.001,5252 5266, D,48,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:45.000,5252 5266, E,38,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:47.000,5252 5266, E,58,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:48.999,5252 5266, E,D9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:50.998,5252 5266, E,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:52.996,5252 5266, E,C9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:54.996,5252 5266, E,88,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:56.995,5252 5266, D,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:56:58.994,5252 5266, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,09:57:00.994,5252 5266, D,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,09:57:04.993,5252 5266, E,59,20-Sep-2014,08:18:41.444
20-Sep-2014,09:58:43.341,4252 5262, C,4D,20-Sep-2014,08:18:41.444
20-Sep-2014,09:59:03.182,66CC 99AA, C,D9,20-Sep-2014,08:18:41.444
20-Sep-2014,09:59:05.182,CCCC 1226, E,98,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:43.120,CCCC 0000, E,88,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:47.116,5252 5266, D,B8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:51.111,5252 5266, D,98,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:53.109,5252 5266, D,18,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:55.106,5252 5266, D,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:57.105,5252 5266, F,18,20-Sep-2014,08:18:41.444
20-Sep-2014,10:00:59.104,5252 5266, E,38,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:01.102,5252 5266, E,C9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:03.099,5252 5266, E,88,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:10.630,5252 5266, D,D9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:12.591,5555 2A55, C,7C,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:14.552,5555 2A55, C,AB,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:28.118,5555 2A45, C,5D,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:30.117,5252 5266, D,58,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:32.116,5252 5266, D,48,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:34.115,5252 5266, E,58,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:36.113,5252 5266, C,F9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:38.110,5252 5266, D,68,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:40.107,5252 5266, E,08,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:42.107,5252 5266, C,EA,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:44.105,5252 5266, E,A8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:01:46.102,5252 5266, E,D9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:04:40.920,5252 5260, E,F9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:04:53.927,5252 5266, C,AB,20-Sep-2014,08:18:41.444
20-Sep-2014,10:04:55.925,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,10:05:25.621,5252 5266, E,58,20-Sep-2014,08:18:41.444
20-Sep-2014,10:05:46.326,5555 2A55, D,A8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:03.806,5555 2A55, C,6E,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:05.805,5252 5266, E,08,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:07.805,5252 5266, E,39,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:09.805,5252 5266, D,09,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:11.804,5252 5266, D,18,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:13.804,5252 5266, D,48,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:15.803,5252 5266, C,CA,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:17.803,5252 5266, D,48,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:19.803,5252 5266, E,A8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:21.801,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:23.799,5252 5266, E,49,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:25.797,5252 5266, E,38,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:27.795,5252 5266, E,59,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:29.794,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:31.794,5252 5266, D,08,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:33.795,5252 5266, C,BA,20-Sep-2014,08:18:41.444
20-Sep-2014,10:06:35.793,5252 5266, D,58,20-Sep-2014,08:18:41.444
20-Sep-2014,10:08:53.713,5252 5266, D,28,20-Sep-2014,08:18:41.444
20-Sep-2014,10:09:42.215,5252 5266, C,9A,20-Sep-2014,08:18:41.444
20-Sep-2014,10:09:44.215,5252 5266, C,D9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:09:46.215,5252 5266, E,18,20-Sep-2014,08:18:41.444
20-Sep-2014,10:09:48.214,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,10:09:50.215,5252 5266, D,19,20-Sep-2014,08:18:41.444
20-Sep-2014,10:09:52.213,5252 5266, D,B8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:11:03.978,5252 5266, E,C8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:11:05.977,5252 5266, D,38,20-Sep-2014,08:18:41.444
20-Sep-2014,10:11:07.977,5252 5266, D,C8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:11:09.977,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,10:11:11.976,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,10:11:15.975,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,10:11:17.975,5252 5266, D,C8,20-Sep-2014,08:18:41.444
20-Sep-2014,10:11:19.974,5252 5266, D,88,20-Sep-2014,08:18:41.444
20-Sep-2014,10:11:21.974,5252 5266, C,E9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:11:35.970,5252 5266, D,88,20-Sep-2014,08:18:41.444
20-Sep-2014,10:15:37.125,5252 5266, C,BA,20-Sep-2014,08:18:41.444
20-Sep-2014,10:15:39.122,5252 5266, E,B9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:20:03.357,5252 5000, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,10:24:22.618,5555 2A55, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,10:34:21.176,66CC 99AA, E,E9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:34:23.166,66CC 99AA, C,E9,20-Sep-2014,08:18:41.444
20-Sep-2014,10:34:32.159,66CC 99AA, C,7C,20-Sep-2014,08:18:41.444
20-Sep-2014,10:34:34.121,5555 2A55, C,8B,20-Sep-2014,08:18:41.444
20-Sep-2014,10:35:15.737,5555 2A55, D,68,20-Sep-2014,08:18:41.444
20-Sep-2014,10:35:26.942,66CC 99AA, D,38,20-Sep-2014,08:18:41.444
20-Sep-2014,10:36:04.482,66CC 99AA, D,28,20-Sep-2014,08:18:41.444
20-Sep-2014,10:36:16.766,5200 0000, C,D8,20-Sep-2014,08:18:41.444
