Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Sep-2014,08:18:41.445,3B6F FD9F, 5,56,20-Sep-2014,08:18:41.444
20-Sep-2014,11:34:28.502,5252 5266, C,AA,20-Sep-2014,08:18:41.444
20-Sep-2014,11:34:30.502,5252 5266, E,69,20-Sep-2014,08:18:41.444
20-Sep-2014,11:34:32.501,5252 5266, D,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:34:34.500,5252 5266, E,69,20-Sep-2014,08:18:41.444
20-Sep-2014,11:34:36.499,5252 5266, C,6A,20-Sep-2014,08:18:41.444
20-Sep-2014,11:34:38.498,5252 5266, D,A8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:34:40.498,5252 5266, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,11:35:02.525,5252 5266, D,B8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:35:25.410,5555 2A54, C,F8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:36:06.080,5555 2A55, D,A8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:36:08.076,5212 4242, C,3D,20-Sep-2014,08:18:41.444
20-Sep-2014,11:37:48.800,5252 5266, C,8B,20-Sep-2014,08:18:41.444
20-Sep-2014,11:37:53.884,5555 2A55, C,CA,20-Sep-2014,08:18:41.444
20-Sep-2014,11:37:55.845,5252 5266, D,08,20-Sep-2014,08:18:41.444
20-Sep-2014,11:38:02.489,5252 0000, D,19,20-Sep-2014,08:18:41.444
20-Sep-2014,11:38:08.489,5252 5266, C,6C,20-Sep-2014,08:18:41.444
20-Sep-2014,11:38:10.489,5252 5266, C,DA,20-Sep-2014,08:18:41.444
20-Sep-2014,11:38:12.489,5252 5266, C,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:38:16.489,5252 5266, C,AB,20-Sep-2014,08:18:41.444
20-Sep-2014,11:38:18.489,5252 5266, C,BA,20-Sep-2014,08:18:41.444
20-Sep-2014,11:38:20.489,5252 5266, E,38,20-Sep-2014,08:18:41.444
20-Sep-2014,11:38:22.488,5252 5266, C,9B,20-Sep-2014,08:18:41.444
20-Sep-2014,11:38:24.487,5252 5266, D,A8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:38:26.486,5252 5266, C,F9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:38:28.485,5252 5266, E,48,20-Sep-2014,08:18:41.444
20-Oct-2014,08:34:20.714,3F6F FD9F, 5,D6,20-Oct-2014,08:34:20.025
20-Oct-2014,08:42:37.971,55D9 9723, E,37,20-Oct-2014,08:34:20.025
20-Oct-2014,08:49:20.548,5252 5266, C,7C,20-Oct-2014,08:34:20.025
20-Oct-2014,08:50:09.114,5252 5266, C,7B,20-Oct-2014,08:34:20.025
20-Oct-2014,08:53:13.388,5252 5266, C,5C,20-Oct-2014,08:34:20.025
20-Oct-2014,08:53:15.386,5252 5266, C,9B,20-Oct-2014,08:34:20.025
20-Oct-2014,08:54:47.068,5252 5266, C,5D,20-Oct-2014,08:34:20.025
20-Oct-2014,08:54:49.068,5252 5266, C,7C,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:05.069,5052 1266, C,3D,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:07.070,5252 5266, C,AC,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:09.071,5252 5266, C,6C,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:11.072,5252 5266, C,8B,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:13.073,5252 5266, C,AA,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:15.071,5252 5266, C,9A,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:17.070,5252 5266, C,AA,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:19.070,5252 5266, C,B9,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:21.070,5252 5266, C,9B,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:25.069,5252 5266, C,5C,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:27.068,5252 5266, C,6B,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:29.067,5252 5266, C,7C,20-Oct-2014,08:34:20.025
20-Oct-2014,08:55:31.066,5252 5266, C,7B,20-Oct-2014,08:34:20.025
20-Oct-2014,09:05:59.947,5252 5266, C,6B,20-Oct-2014,08:34:20.025
20-Oct-2014,09:08:17.591,5252 5266, C,9B,20-Oct-2014,08:34:20.025
20-Oct-2014,09:20:43.462,5252 5266, C,9B,20-Oct-2014,08:34:20.025
20-Oct-2014,09:31:19.472,5252 5266, C,AD,20-Oct-2014,08:34:20.025
20-Oct-2014,09:32:57.378,5252 5266, C,6C,20-Oct-2014,08:34:20.025
20-Oct-2014,09:32:59.377,5252 5266, C,DA,20-Oct-2014,08:34:20.025
20-Oct-2014,09:34:43.402,5252 5266, C,B9,20-Oct-2014,08:34:20.025
20-Oct-2014,09:34:45.402,5252 5266, C,6C,20-Oct-2014,08:34:20.025
20-Oct-2014,09:39:07.505,5252 5266, C,8B,20-Oct-2014,08:34:20.025
20-Oct-2014,10:08:07.950,5252 5266, C,9B,20-Oct-2014,08:34:20.025
20-Oct-2014,10:08:11.951,5252 5266, C,6C,20-Oct-2014,08:34:20.025
20-Oct-2014,10:08:15.951,5252 5266, C,6C,20-Oct-2014,08:34:20.025
20-Oct-2014,10:14:48.109,5252 5266, C,6C,20-Oct-2014,08:34:20.025
20-Oct-2014,11:07:21.504,5252 5260, C,4D,20-Oct-2014,08:34:20.025
20-Oct-2014,11:42:59.796,5252 5266, C,9A,20-Oct-2014,08:34:20.025
20-Oct-2014,11:43:01.795,5252 5266, C,4D,20-Oct-2014,08:34:20.025
20-Oct-2014,11:57:18.885,5252 5266, C,5C,20-Oct-2014,08:34:20.025
20-Oct-2014,12:16:54.653,5252 5266, C,6C,20-Oct-2014,08:34:20.025
20-Dec-2014,11:41:28.142,D1D9 1723, A,37,19-Dec-2014,11:13:20.012
20-Dec-2014,11:41:30.087,66AA 99B4, E,E9,19-Dec-2014,11:13:20.012
20-Dec-2014,11:41:32.031,66AA 99B4, E,C9,19-Dec-2014,11:13:20.012
20-Dec-2014,11:50:54.251,66AA 99B0, E,8A,19-Dec-2014,11:13:20.012
20-Dec-2014,11:50:56.199,67AA 9DB6, D,0E,19-Dec-2014,11:13:20.012
20-Dec-2014,11:51:01.520,66AA 99B6, D,4C,19-Dec-2014,11:13:20.012
20-Dec-2014,11:51:03.504,334B 2D28, C,ED,19-Dec-2014,11:13:20.012
20-Dec-2014,12:42:08.562,335B 2D2A, D,3C,19-Dec-2014,11:13:20.012
20-Dec-2014,12:42:10.547,3B5B 2D2A, D,8B,19-Dec-2014,11:13:20.012
20-Dec-2014,12:42:14.514,334B 2D2A, D,EB,19-Dec-2014,11:13:20.012
20-Jan-2015,11:09:35.783,3B6E F99D, 5,56,20-Jan-2015,11:09:35.100
20-Feb-2015,07:04:18.733,3FEF FD9F, 5,D6,20-Feb-2015,07:04:18.052
