Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Unit,Session_date,Session_time
2015-10-14,12:47:13.882,E3B2 21DF,EE,1B,Unit6,2015-10-14,12:47:13.513
2015-10-14,13:02:04.201,04BA 44FF,4C,DF,Unit6,2015-10-14,12:47:13.513
2015-10-14,13:19:27.937,334F FBC0,C7,E9,Unit6,2015-10-14,12:47:13.513
2015-10-14,13:19:28.924,334B 4B52,CE,94,Unit6,2015-10-14,12:47:13.513
2015-10-15,06:19:20.535,334B 4B52,D0,A0,Unit6,2015-10-14,12:47:13.513
2015-10-15,06:19:21.546,5566 552D,E3,9E,Unit6,2015-10-14,12:47:13.513
2015-10-15,06:19:22.556,5566 552D,E3,9E,Unit6,2015-10-14,12:47:13.513
2015-10-15,06:19:23.564,5566 552D,E1,A3,Unit6,2015-10-14,12:47:13.513
2015-10-15,06:19:29.412,557F FFF8,E2,9B,Unit6,2015-10-14,12:47:13.513
2015-10-15,06:19:30.424,5566 552D,E2,95,Unit6,2015-10-14,12:47:13.513
2015-10-15,06:19:31.437,5566 552D,E0,8B,Unit6,2015-10-14,12:47:13.513
2015-10-15,06:19:32.450,5566 552D,E2,91,Unit6,2015-10-14,12:47:13.513
2015-10-15,06:19:33.461,5566 552D,D8,99,Unit6,2015-10-14,12:47:13.513
2015-10-15,11:47:21.086,5566 552D,D2,96,Unit6,2015-10-14,12:47:13.513
2015-10-15,11:54:44.704,334B 4B52,CE,A4,Unit6,2015-10-14,12:47:13.513
2015-10-15,12:18:08.876,334B 4B52,C6,D9,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:44:38.071,334B 4B52,D2,9B,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:44:39.057,334B 4B52,E4,99,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:44:40.042,334B 4B52,E5,96,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:44:55.704,3FFF F800,E3,9F,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:44:56.691,334B 4B52,E3,92,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:44:57.675,334B 4B52,E3,94,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:45:13.383,3FFF E000,E3,A1,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:45:14.370,334B 4B52,E5,94,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:45:15.354,334B 4B52,E4,98,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:45:30.210,33FF FF00,E4,A8,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:45:31.198,334B 4B52,E4,9A,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:45:32.182,334B 4B52,E5,98,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:45:47.286,33FF FE00,E3,99,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:45:48.273,334B 4B52,E3,97,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:45:49.257,334B 4B52,E3,95,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:46:05.834,3FFF E000,E1,9B,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:46:06.821,334B 4B52,E5,92,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:46:07.805,334B 4B52,E4,99,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:46:24.321,3FFF E000,E4,A4,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:46:25.308,334B 4B52,E5,98,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:46:26.292,334B 4B52,E5,91,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:46:42.548,3FFF F000,E3,9A,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:46:43.535,334B 4B52,E4,85,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:46:44.520,334B 4B52,E3,92,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:47:01.151,3FFF E000,E3,94,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:47:02.138,334B 4B52,E5,9C,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:47:03.122,334B 4B52,E3,93,Unit6,2015-10-14,12:47:13.513
2015-10-16,06:47:21.421,E000 0000,E3,92,Unit6,2015-10-14,12:47:13.513
